checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
0 <= <200 DM,20,existing credits paid back duly till now,furniture/equipment,3054,<100 DM,<1 years,4,guarantor,3,real estate,0,bank,rent,2,unemployed/ unskilled  - non-resident,1,none,no,1,divorced/separated,0
no account,21,all credits at this bank paid back duly,radio/television,2983,no savings account,>=7 years,4,co-applicant,4,unknown / no property,0,none,own,2,unemployed/ unskilled  - non-resident,2,none,no,1,married/widowed,1
>= 200 DM ,23,all credits at this bank paid back duly,retraining,2031,500 <= < 1000 DM,1<= < 4 years,4,none,3,unknown / no property,0,store,rent,2,unemployed/ unskilled  - non-resident,2,yes,no,0,divorced/separated,1
>= 200 DM ,16,no credits taken,furniture/equipment,3140,>= 1000 DM,<1 years,4,none,3,real estate,0,store,rent,2,management/ highly qualified employee,2,none,no,0,divorced/separated,0
no account,17,existing credits paid back duly till now,furniture/equipment,4347,>= 1000 DM,<1 years,4,guarantor,3,car or other,0,store,rent,2,management/ highly qualified employee,2,none,no,1,divorced/separated,0
no account,17,delay in paying off,repairs,4985,>= 1000 DM,<1 years,4,guarantor,4,savings agreement/life insurance,0,none,own,2,management/ highly qualified employee,2,none,yes,1,divorced/separated,1
0 <= <200 DM,28,no credits taken,car (new),4595,<100 DM,<1 years,4,guarantor,4,real estate,0,store,own,2,unemployed/ unskilled  - non-resident,2,yes,yes,1,married/widowed,1
>= 200 DM ,18,existing credits paid back duly till now,repairs,4009,<100 DM,unemployed,4,none,3,real estate,1,none,rent,2,management/ highly qualified employee,2,none,yes,0,married/widowed,1
no account,21,existing credits paid back duly till now,furniture/equipment,3369,500 <= < 1000 DM,<1 years,3,guarantor,3,real estate,0,store,own,2,skilled employee / official,2,none,yes,0,divorced/separated,1
>= 200 DM ,21,no credits taken,car (new),3464,>= 1000 DM,4<= <7 years,3,co-applicant,3,real estate,0,none,for free,2,unskilled - resident,2,yes,no,1,married/widowed,0
<0 DM,23,all credits at this bank paid back duly,repairs,3676,>= 1000 DM,<1 years,3,co-applicant,3,unknown / no property,0,none,for free,2,skilled employee / official,2,none,no,1,married/widowed,0
no account,25,existing credits paid back duly till now,furniture/equipment,3268,>= 1000 DM,4<= <7 years,4,guarantor,4,savings agreement/life insurance,0,bank,own,2,skilled employee / official,2,yes,yes,0,divorced/separated,0
no account,25,critical account,education,4048,>= 1000 DM,<1 years,4,guarantor,3,savings agreement/life insurance,0,bank,rent,2,management/ highly qualified employee,2,yes,no,1,divorced/separated,1
no account,20,all credits at this bank paid back duly,car (used),3388,>= 1000 DM,1<= < 4 years,4,guarantor,3,car or other,1,store,rent,2,skilled employee / official,2,none,no,0,married/widowed,0
0 <= <200 DM,20,no credits taken,others,2899,>= 1000 DM,4<= <7 years,4,guarantor,4,real estate,0,store,own,2,management/ highly qualified employee,2,yes,no,1,divorced/separated,0
no account,23,critical account,others,3280,no savings account,1<= < 4 years,3,none,3,savings agreement/life insurance,0,none,for free,2,unemployed/ unskilled  - non-resident,2,none,no,1,married/widowed,1
>= 200 DM ,14,existing credits paid back duly till now,education,3947,>= 1000 DM,unemployed,4,co-applicant,3,car or other,0,bank,for free,2,unemployed/ unskilled  - non-resident,2,none,no,1,divorced/separated,0
0 <= <200 DM,23,existing credits paid back duly till now,repairs,3182,100 <= <500 DM,4<= <7 years,3,co-applicant,3,car or other,0,store,rent,2,management/ highly qualified employee,2,yes,yes,0,divorced/separated,0
>= 200 DM ,22,no credits taken,radio/television,3847,no savings account,unemployed,3,co-applicant,3,car or other,0,bank,for free,2,unemployed/ unskilled  - non-resident,1,none,yes,1,married/widowed,1
no account,19,existing credits paid back duly till now,radio/television,2601,100 <= <500 DM,<1 years,4,guarantor,4,car or other,0,bank,own,2,management/ highly qualified employee,2,yes,no,1,divorced/separated,1
0 <= <200 DM,19,existing credits paid back duly till now,repairs,2180,<100 DM,<1 years,3,none,3,car or other,1,none,own,2,skilled employee / official,2,none,yes,0,married/widowed,0
no account,25,critical account,education,4564,no savings account,<1 years,4,guarantor,3,real estate,1,store,rent,2,management/ highly qualified employee,2,none,yes,0,divorced/separated,1
