checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
<0 DM,14,no credits taken,retraining,3178,no savings account,4<= <7 years,4,none,3,unknown / no property,0,none,for free,2,management/ highly qualified employee,2,none,yes,0,married/widowed,1
<0 DM,22,all credits at this bank paid back duly,radio/television,4560,500 <= < 1000 DM,<1 years,3,co-applicant,4,car or other,0,store,rent,2,unemployed/ unskilled  - non-resident,2,yes,no,1,married/widowed,1
>= 200 DM ,21,critical account,retraining,3631,<100 DM,<1 years,4,co-applicant,3,savings agreement/life insurance,0,store,for free,2,management/ highly qualified employee,1,none,yes,1,married/widowed,1
no account,22,no credits taken,car (new),3397,100 <= <500 DM,4<= <7 years,3,none,3,savings agreement/life insurance,1,store,for free,2,unemployed/ unskilled  - non-resident,2,none,no,0,married/widowed,1
0 <= <200 DM,19,no credits taken,others,3850,500 <= < 1000 DM,unemployed,4,none,3,unknown / no property,1,bank,for free,2,unemployed/ unskilled  - non-resident,2,yes,no,0,married/widowed,1
no account,18,existing credits paid back duly till now,repairs,4459,100 <= <500 DM,unemployed,3,guarantor,3,real estate,0,bank,own,2,unskilled - resident,2,none,yes,0,married/widowed,0
0 <= <200 DM,21,all credits at this bank paid back duly,car (new),3074,500 <= < 1000 DM,4<= <7 years,3,co-applicant,4,savings agreement/life insurance,0,store,own,2,skilled employee / official,2,none,no,0,divorced/separated,0
no account,24,delay in paying off,domestic appliances,2750,<100 DM,1<= < 4 years,4,none,3,unknown / no property,1,bank,rent,2,management/ highly qualified employee,2,yes,no,1,married/widowed,1
no account,18,critical account,business,4810,<100 DM,<1 years,4,co-applicant,4,real estate,0,store,rent,2,unemployed/ unskilled  - non-resident,2,yes,yes,0,divorced/separated,1
<0 DM,20,no credits taken,education,3628,>= 1000 DM,<1 years,3,guarantor,3,unknown / no property,1,bank,rent,2,management/ highly qualified employee,1,none,no,1,married/widowed,1
0 <= <200 DM,24,delay in paying off,domestic appliances,3451,>= 1000 DM,4<= <7 years,3,guarantor,3,car or other,0,store,own,2,unskilled - resident,2,none,no,0,married/widowed,1
0 <= <200 DM,24,all credits at this bank paid back duly,furniture/equipment,2535,100 <= <500 DM,4<= <7 years,3,guarantor,4,real estate,1,none,for free,2,unskilled - resident,2,none,no,1,married/widowed,0
<0 DM,19,all credits at this bank paid back duly,education,2616,no savings account,<1 years,3,co-applicant,3,real estate,1,store,own,2,unemployed/ unskilled  - non-resident,2,yes,yes,0,divorced/separated,1
<0 DM,17,delay in paying off,domestic appliances,3080,>= 1000 DM,<1 years,3,co-applicant,4,real estate,0,none,for free,2,skilled employee / official,2,none,no,1,divorced/separated,0
>= 200 DM ,22,no credits taken,furniture/equipment,3992,100 <= <500 DM,unemployed,4,co-applicant,3,savings agreement/life insurance,0,store,own,2,skilled employee / official,2,yes,no,1,married/widowed,1
>= 200 DM ,20,all credits at this bank paid back duly,repairs,4116,100 <= <500 DM,<1 years,4,guarantor,3,real estate,0,bank,own,2,unemployed/ unskilled  - non-resident,2,yes,yes,1,married/widowed,0
no account,13,all credits at this bank paid back duly,business,3994,>= 1000 DM,<1 years,3,co-applicant,4,real estate,0,store,for free,2,management/ highly qualified employee,2,yes,no,1,married/widowed,1
>= 200 DM ,20,no credits taken,business,1965,100 <= <500 DM,<1 years,3,none,4,real estate,1,none,for free,2,unemployed/ unskilled  - non-resident,2,yes,yes,1,divorced/separated,0
0 <= <200 DM,21,critical account,car (new),3526,100 <= <500 DM,>=7 years,3,co-applicant,4,savings agreement/life insurance,1,store,own,2,management/ highly qualified employee,2,yes,no,0,married/widowed,0
no account,25,no credits taken,radio/television,2994,500 <= < 1000 DM,>=7 years,3,none,4,unknown / no property,1,none,own,2,management/ highly qualified employee,2,none,no,0,married/widowed,1
<0 DM,20,delay in paying off,car (used),4818,<100 DM,>=7 years,3,guarantor,3,unknown / no property,1,store,for free,2,unemployed/ unskilled  - non-resident,2,yes,no,0,divorced/separated,1
no account,19,all credits at this bank paid back duly,business,3273,no savings account,4<= <7 years,3,none,3,real estate,1,none,for free,2,skilled employee / official,2,none,yes,1,married/widowed,0
>= 200 DM ,17,existing credits paid back duly till now,retraining,3270,>= 1000 DM,<1 years,4,guarantor,3,savings agreement/life insurance,0,store,rent,2,management/ highly qualified employee,1,none,no,1,married/widowed,1
<0 DM,23,no credits taken,domestic appliances,2233,>= 1000 DM,<1 years,4,co-applicant,3,savings agreement/life insurance,1,none,for free,2,management/ highly qualified employee,2,yes,yes,0,married/widowed,1
<0 DM,17,all credits at this bank paid back duly,others,5809,500 <= < 1000 DM,>=7 years,3,none,3,car or other,1,store,for free,2,unemployed/ unskilled  - non-resident,2,none,no,0,married/widowed,1
0 <= <200 DM,23,critical account,business,3992,>= 1000 DM,>=7 years,4,co-applicant,4,unknown / no property,0,store,for free,2,management/ highly qualified employee,2,yes,no,0,divorced/separated,1
no account,16,all credits at this bank paid back duly,education,3703,>= 1000 DM,>=7 years,4,guarantor,4,unknown / no property,0,store,for free,2,skilled employee / official,2,none,no,0,married/widowed,0
no account,23,critical account,retraining,3486,<100 DM,4<= <7 years,3,none,4,unknown / no property,0,store,for free,2,skilled employee / official,2,yes,yes,0,divorced/separated,1
>= 200 DM ,19,critical account,business,2522,no savings account,1<= < 4 years,3,none,3,unknown / no property,0,bank,for free,2,management/ highly qualified employee,2,none,yes,1,divorced/separated,1
0 <= <200 DM,22,critical account,car (used),2800,no savings account,1<= < 4 years,3,none,3,savings agreement/life insurance,0,store,rent,2,unskilled - resident,2,none,no,0,divorced/separated,1
>= 200 DM ,20,no credits taken,repairs,4374,100 <= <500 DM,>=7 years,3,co-applicant,3,unknown / no property,0,store,for free,2,unemployed/ unskilled  - non-resident,2,yes,no,1,divorced/separated,0
0 <= <200 DM,24,existing credits paid back duly till now,education,2957,<100 DM,unemployed,3,co-applicant,4,savings agreement/life insurance,1,store,for free,2,unskilled - resident,2,none,yes,1,married/widowed,0
<0 DM,21,critical account,car (used),3551,no savings account,4<= <7 years,4,guarantor,3,real estate,0,bank,rent,2,unskilled - resident,2,none,yes,0,married/widowed,1
no account,18,critical account,education,2810,>= 1000 DM,4<= <7 years,3,co-applicant,3,car or other,0,none,rent,2,skilled employee / official,2,none,no,0,married/widowed,1
0 <= <200 DM,21,all credits at this bank paid back duly,education,4216,500 <= < 1000 DM,4<= <7 years,4,guarantor,4,savings agreement/life insurance,1,none,own,2,unskilled - resident,1,yes,no,1,divorced/separated,1
0 <= <200 DM,21,existing credits paid back duly till now,repairs,3180,no savings account,>=7 years,3,guarantor,3,car or other,0,store,rent,2,management/ highly qualified employee,2,yes,no,1,married/widowed,0
<0 DM,19,critical account,furniture/equipment,2832,>= 1000 DM,<1 years,4,guarantor,4,unknown / no property,0,store,rent,2,unemployed/ unskilled  - non-resident,2,yes,no,1,divorced/separated,1
>= 200 DM ,16,critical account,car (new),3060,500 <= < 1000 DM,>=7 years,3,guarantor,3,car or other,0,none,own,2,unskilled - resident,2,yes,no,1,divorced/separated,1
>= 200 DM ,20,delay in paying off,others,2423,<100 DM,<1 years,4,none,3,unknown / no property,0,store,for free,2,unemployed/ unskilled  - non-resident,2,yes,no,1,divorced/separated,1
>= 200 DM ,22,no credits taken,furniture/equipment,4001,<100 DM,<1 years,3,co-applicant,4,real estate,1,bank,rent,2,unskilled - resident,2,yes,yes,0,married/widowed,0
no account,23,delay in paying off,education,3533,no savings account,1<= < 4 years,3,none,4,unknown / no property,0,store,for free,2,skilled employee / official,2,none,no,0,divorced/separated,1
<0 DM,20,all credits at this bank paid back duly,business,3531,no savings account,<1 years,4,guarantor,3,unknown / no property,1,none,own,2,management/ highly qualified employee,2,none,yes,1,divorced/separated,1
<0 DM,20,no credits taken,furniture/equipment,2796,500 <= < 1000 DM,<1 years,3,none,3,real estate,1,store,own,2,skilled employee / official,2,none,no,0,married/widowed,0
<0 DM,24,existing credits paid back duly till now,radio/television,5560,>= 1000 DM,4<= <7 years,3,none,4,unknown / no property,1,none,rent,2,management/ highly qualified employee,2,none,yes,1,divorced/separated,0
>= 200 DM ,21,delay in paying off,domestic appliances,2183,100 <= <500 DM,<1 years,3,guarantor,4,car or other,1,store,rent,2,management/ highly qualified employee,2,yes,no,0,divorced/separated,1
no account,23,critical account,car (used),1565,100 <= <500 DM,<1 years,4,guarantor,4,car or other,0,store,own,2,management/ highly qualified employee,2,yes,no,0,divorced/separated,1
>= 200 DM ,20,existing credits paid back duly till now,business,4205,no savings account,>=7 years,4,co-applicant,3,unknown / no property,0,store,rent,2,unskilled - resident,2,yes,yes,0,married/widowed,1
no account,20,critical account,repairs,3354,500 <= < 1000 DM,>=7 years,4,co-applicant,3,real estate,0,bank,rent,2,unemployed/ unskilled  - non-resident,2,none,no,0,divorced/separated,0
no account,22,delay in paying off,car (new),1603,500 <= < 1000 DM,unemployed,3,guarantor,4,unknown / no property,1,store,rent,2,management/ highly qualified employee,1,yes,no,0,divorced/separated,0
<0 DM,21,all credits at this bank paid back duly,radio/television,5532,<100 DM,4<= <7 years,4,co-applicant,3,unknown / no property,0,none,rent,2,unemployed/ unskilled  - non-resident,1,yes,no,0,divorced/separated,1
>= 200 DM ,20,no credits taken,retraining,3556,100 <= <500 DM,unemployed,3,co-applicant,4,real estate,1,store,for free,2,skilled employee / official,2,yes,yes,1,married/widowed,1
>= 200 DM ,17,critical account,radio/television,3604,>= 1000 DM,<1 years,3,none,3,unknown / no property,0,store,rent,2,unemployed/ unskilled  - non-resident,1,yes,yes,0,married/widowed,1
0 <= <200 DM,21,no credits taken,radio/television,4386,100 <= <500 DM,1<= < 4 years,4,none,3,real estate,0,bank,rent,2,skilled employee / official,2,none,no,0,married/widowed,0
no account,23,existing credits paid back duly till now,business,3011,no savings account,unemployed,3,co-applicant,4,savings agreement/life insurance,0,bank,own,2,skilled employee / official,2,yes,yes,0,married/widowed,1
no account,21,no credits taken,retraining,2366,>= 1000 DM,1<= < 4 years,4,none,3,car or other,0,none,own,2,management/ highly qualified employee,2,none,yes,1,divorced/separated,0
no account,19,delay in paying off,car (used),2171,100 <= <500 DM,unemployed,3,co-applicant,3,real estate,0,none,own,2,unemployed/ unskilled  - non-resident,2,yes,no,0,married/widowed,0
<0 DM,19,no credits taken,domestic appliances,3561,<100 DM,4<= <7 years,3,guarantor,3,real estate,0,none,own,2,management/ highly qualified employee,1,none,no,0,married/widowed,0
0 <= <200 DM,24,existing credits paid back duly till now,retraining,2703,500 <= < 1000 DM,unemployed,3,co-applicant,3,car or other,0,bank,rent,2,skilled employee / official,2,yes,no,0,divorced/separated,0
<0 DM,19,all credits at this bank paid back duly,radio/television,3626,<100 DM,unemployed,3,co-applicant,3,unknown / no property,0,none,own,2,management/ highly qualified employee,2,none,no,1,married/widowed,1
no account,26,existing credits paid back duly till now,domestic appliances,3672,>= 1000 DM,1<= < 4 years,3,guarantor,4,car or other,1,none,rent,2,skilled employee / official,2,none,no,0,divorced/separated,0
no account,20,delay in paying off,domestic appliances,3521,no savings account,>=7 years,3,guarantor,3,savings agreement/life insurance,0,none,rent,2,skilled employee / official,2,yes,yes,1,divorced/separated,0
<0 DM,24,delay in paying off,others,3957,>= 1000 DM,<1 years,4,guarantor,3,unknown / no property,1,store,for free,2,management/ highly qualified employee,2,yes,yes,0,divorced/separated,0
0 <= <200 DM,27,existing credits paid back duly till now,domestic appliances,4027,100 <= <500 DM,unemployed,3,co-applicant,3,car or other,0,store,own,2,skilled employee / official,2,yes,yes,1,divorced/separated,1
>= 200 DM ,18,existing credits paid back duly till now,furniture/equipment,4243,>= 1000 DM,<1 years,3,none,4,car or other,0,store,own,2,unskilled - resident,2,none,yes,1,divorced/separated,1
no account,20,no credits taken,retraining,2803,>= 1000 DM,<1 years,3,none,4,real estate,1,store,for free,2,unskilled - resident,2,none,no,0,divorced/separated,0
0 <= <200 DM,28,no credits taken,business,4395,no savings account,<1 years,3,co-applicant,4,car or other,0,store,for free,2,management/ highly qualified employee,2,yes,no,0,divorced/separated,1
<0 DM,22,existing credits paid back duly till now,furniture/equipment,3114,>= 1000 DM,<1 years,4,none,4,car or other,1,store,for free,2,skilled employee / official,2,none,yes,0,divorced/separated,0
0 <= <200 DM,14,no credits taken,car (new),2648,500 <= < 1000 DM,4<= <7 years,3,co-applicant,3,savings agreement/life insurance,1,none,own,2,unskilled - resident,1,yes,yes,1,divorced/separated,1
<0 DM,18,no credits taken,business,4986,>= 1000 DM,<1 years,3,guarantor,3,real estate,0,none,own,2,skilled employee / official,1,none,no,0,married/widowed,0
0 <= <200 DM,24,all credits at this bank paid back duly,furniture/equipment,3049,no savings account,4<= <7 years,3,co-applicant,4,savings agreement/life insurance,1,store,rent,2,management/ highly qualified employee,2,none,yes,0,divorced/separated,1
0 <= <200 DM,20,existing credits paid back duly till now,business,3237,500 <= < 1000 DM,<1 years,3,co-applicant,3,unknown / no property,0,store,own,2,management/ highly qualified employee,2,yes,no,1,divorced/separated,1
0 <= <200 DM,17,all credits at this bank paid back duly,car (used),3530,100 <= <500 DM,4<= <7 years,3,co-applicant,4,car or other,1,bank,for free,2,management/ highly qualified employee,2,none,yes,1,married/widowed,0
