age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,class-label
1,blue-collar,married,tertiary,no,2049,no,no,telephone,18,sep,278,5,76,1,failure,0
0,unknown,single,unknown,yes,1113,no,yes,telephone,19,aug,286,3,33,1,unknown,0
0,unemployed,married,tertiary,no,1344,yes,no,cellular,19,dec,413,3,7,2,success,0
1,blue-collar,married,primary,no,856,no,yes,cellular,17,may,221,3,32,2,success,0
1,housemaid,single,secondary,yes,2532,yes,yes,cellular,19,oct,222,3,69,2,unknown,1
1,self-employed,married,primary,no,464,yes,no,unknown,19,jun,305,3,36,1,failure,1
1,self-employed,married,primary,yes,1171,no,no,telephone,20,nov,277,3,65,0,unknown,1
0,admin.,married,tertiary,no,957,no,no,cellular,23,apr,111,2,-1,1,failure,1
1,housemaid,married,secondary,no,2627,yes,yes,unknown,18,apr,142,3,67,1,failure,1
1,management,single,primary,yes,1434,yes,no,cellular,15,jun,308,3,12,1,failure,1
0,services,married,tertiary,yes,1124,no,yes,unknown,17,aug,370,4,-15,1,other,1
1,student,married,tertiary,no,1563,no,yes,cellular,18,jul,232,3,20,0,unknown,0
0,housemaid,single,unknown,no,685,yes,yes,telephone,16,nov,304,3,64,2,unknown,0
1,management,married,tertiary,no,742,no,yes,cellular,20,oct,187,2,28,1,failure,0
0,entrepreneur,married,tertiary,no,810,yes,yes,unknown,19,sep,271,3,83,1,other,0
0,management,single,primary,no,1309,yes,yes,unknown,19,dec,187,2,59,2,unknown,0
0,housemaid,single,secondary,no,1197,no,yes,telephone,15,jun,308,3,31,0,success,1
0,management,married,secondary,no,622,no,yes,cellular,15,jul,376,3,-10,0,other,0
0,entrepreneur,married,secondary,no,636,no,no,telephone,17,jul,222,2,29,2,success,1
1,retired,single,primary,no,3155,no,no,cellular,21,jul,373,3,37,1,unknown,1
0,management,married,tertiary,no,1155,no,no,unknown,19,jan,389,2,1,2,success,0
0,blue-collar,single,secondary,yes,1265,no,no,unknown,13,nov,439,3,24,1,other,1
0,self-employed,single,secondary,no,2360,no,no,cellular,18,jan,189,2,-1,1,unknown,1
1,student,married,secondary,yes,566,yes,no,telephone,20,oct,246,2,1,1,failure,1
1,unemployed,married,unknown,yes,1946,yes,no,unknown,21,jul,239,4,-2,3,unknown,0
1,services,single,unknown,no,2519,yes,yes,unknown,14,nov,170,3,136,1,success,1
0,unknown,married,tertiary,no,1451,yes,yes,telephone,18,jan,181,3,63,1,unknown,1
1,blue-collar,single,primary,no,2275,no,yes,telephone,18,jan,215,4,-23,1,other,0
1,management,married,tertiary,yes,2577,yes,yes,cellular,18,apr,132,2,57,0,success,0
1,unknown,married,tertiary,no,1241,no,no,telephone,20,sep,145,3,5,1,failure,0
1,technician,married,unknown,yes,1881,yes,no,cellular,18,aug,215,2,60,1,failure,0
1,student,married,primary,yes,3930,no,yes,telephone,19,nov,304,4,31,1,success,0
1,entrepreneur,married,unknown,yes,2272,no,yes,cellular,17,feb,231,2,20,1,unknown,0
0,self-employed,single,unknown,no,2031,no,yes,cellular,15,jan,247,3,100,1,unknown,0
1,admin.,single,secondary,yes,1465,no,no,unknown,19,nov,205,3,25,1,unknown,0
0,technician,married,unknown,no,2004,no,yes,cellular,16,jul,298,3,53,1,unknown,0
1,entrepreneur,single,secondary,yes,454,yes,no,telephone,16,nov,282,3,48,1,other,1
1,management,single,unknown,yes,-22,yes,yes,unknown,17,nov,249,3,85,1,failure,0
1,blue-collar,single,primary,yes,1515,no,no,telephone,17,mar,270,3,40,1,success,0
1,admin.,married,unknown,no,-533,no,yes,unknown,18,may,318,2,3,1,failure,1
1,technician,married,tertiary,yes,2143,no,yes,cellular,20,jun,275,2,22,1,other,0
0,unknown,single,secondary,no,532,no,yes,cellular,15,feb,289,4,39,1,other,0
0,self-employed,single,tertiary,yes,277,no,no,telephone,14,mar,423,4,62,0,other,1
0,retired,married,tertiary,yes,2172,yes,no,telephone,18,mar,180,2,50,0,success,0
1,housemaid,married,secondary,yes,2302,no,no,cellular,18,mar,134,2,16,2,failure,0
1,entrepreneur,single,unknown,yes,2350,no,no,cellular,14,dec,383,3,33,2,other,0
1,student,single,tertiary,no,1521,no,no,cellular,19,jan,161,2,78,1,unknown,0
1,blue-collar,single,secondary,yes,1341,yes,no,unknown,21,nov,197,2,-10,2,success,0
1,student,married,tertiary,yes,1634,yes,yes,telephone,16,nov,334,4,40,1,success,1
0,student,married,primary,no,1518,yes,yes,telephone,22,jul,152,3,79,1,other,0
0,student,single,primary,yes,1015,no,no,unknown,14,may,437,2,34,1,failure,0
0,housemaid,single,secondary,yes,440,no,no,unknown,18,jul,167,2,67,0,failure,0
1,technician,married,tertiary,yes,908,yes,no,telephone,21,jun,173,2,2,1,unknown,0
1,housemaid,married,unknown,yes,704,yes,no,cellular,15,aug,346,3,29,1,success,0
0,self-employed,single,primary,no,1769,no,yes,cellular,16,sep,286,3,95,0,unknown,1
0,services,single,unknown,no,2675,no,no,unknown,21,apr,184,2,53,1,failure,1
1,unknown,single,primary,yes,49,no,yes,telephone,18,aug,258,3,37,0,unknown,0
0,self-employed,married,secondary,no,372,yes,yes,telephone,22,aug,38,1,109,0,unknown,1
0,unemployed,married,tertiary,yes,1444,no,yes,unknown,17,jul,226,3,29,1,failure,1
0,unknown,married,tertiary,no,759,yes,yes,cellular,14,apr,283,3,23,1,other,1
1,management,single,primary,no,1259,no,no,telephone,19,dec,165,2,53,1,failure,0
1,retired,single,unknown,yes,2574,no,yes,cellular,17,apr,196,2,31,0,unknown,1
1,unknown,married,secondary,yes,-367,yes,no,unknown,22,apr,215,3,27,3,success,1
1,services,single,tertiary,yes,2621,no,no,cellular,16,jan,275,3,47,0,failure,1
0,management,married,tertiary,no,592,yes,no,telephone,18,nov,236,3,48,2,unknown,1
1,self-employed,married,unknown,no,1245,no,no,cellular,17,dec,130,3,71,0,other,0
0,student,single,primary,yes,1372,no,yes,telephone,14,jul,362,3,57,0,other,1
0,housemaid,married,unknown,no,1365,yes,yes,unknown,20,sep,269,3,83,1,failure,0
1,admin.,married,unknown,no,687,yes,yes,unknown,17,jun,255,4,34,1,other,1
