PAYMENT-DAY,QUANT-ADDITIONAL-CARDS,POSTAL-ADDRESS-TYPE,SEX,MARITAL-STATUS,QUANT-DEPENDANTS,EDUCATION-LEVEL,FLAG-RESIDENCIAL-PHONE,RESIDENCE-TYPE,MONTHS-IN-RESIDENCE,FLAG-MOBILE-PHONE,FLAG-EMAIL,PERSONAL-MONTHLY-INCOME,OTHER-INCOMES,FLAG-VISA,FLAG-MASTERCARD,FLAG-DINERS,FLAG-AMERICAN-EXPRESS,FLAG-OTHER-CARDS,QUANT-BANKING-ACCOUNTS,QUANT-SPECIAL-BANKING-ACCOUNTS,PERSONAL-ASSETS-VALUE,QUANT-CARS,COMPANY,FLAG-PROFESSIONAL-PHONE,MONTHS-IN-THE-JOB,OCCUPATION-TYPE,FLAG-HOME-ADDRESS-DOCUMENT,FLAG-RG,FLAG-CPF,FLAG-INCOME-PROOF,PRODUCT,FLAG-ACSP-RECORD,AGE,class-label
10,0,1,0,2,2,0,Y,1.0,17,N,0,1990,580,0,0,0,0,0,1,0,8703,1,N,N,0,2.0,0,0,0,0,1,N,1,0
15,0,1,0,2,2,0,Y,5.0,10,N,1,1619,615,0,0,0,0,0,0,1,9629,1,Y,N,0,2.0,0,0,0,0,1,N,1,0
25,0,2,0,1,1,0,Y,1.0,9,N,1,486,32,0,0,0,0,0,0,0,8267,1,Y,Y,0,2.0,0,0,0,0,1,N,1,0
10,0,1,0,1,2,0,Y,1.0,15,N,1,3522,46,0,0,0,0,0,1,0,3811,0,Y,Y,1,2.0,0,0,0,0,1,N,1,0
10,0,1,0,2,1,0,Y,1.0,8,N,1,2348,119,0,0,0,0,0,0,0,3540,1,N,N,1,4.0,0,0,0,0,1,N,1,0
5,0,1,0,1,2,0,Y,1.0,17,N,1,1693,115,0,0,0,0,0,0,0,7233,0,Y,Y,0,2.0,0,0,0,0,1,N,1,0
10,0,1,0,2,1,0,Y,1.0,15,N,1,2388,31,0,0,0,0,0,1,1,4913,1,N,N,1,1.0,0,0,0,0,1,N,1,0
15,0,1,0,2,3,0,Y,1.0,10,N,0,2009,98,0,0,0,0,0,1,1,3542,1,N,N,1,4.0,0,0,0,0,1,N,1,0
25,0,1,1,1,1,0,Y,1.0,11,N,1,1216,210,0,0,0,0,0,0,1,8953,1,Y,Y,0,5.0,0,0,0,0,1,N,1,0
1,0,1,0,2,2,0,Y,1.0,10,N,1,8327,226,1,1,0,0,0,0,0,17748,0,Y,N,1,2.0,0,0,0,0,1,N,1,0
25,0,1,1,2,1,0,N,1.0,20,N,1,625,376,0,0,0,0,0,0,0,21019,0,Y,N,1,2.0,0,0,0,0,1,N,1,0
