checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
0 <= <200 DM,23,no credits taken,car (new),3940,>= 1000 DM,1<= < 4 years,3,co-applicant,4,car or other,32,store,own,2,skilled employee / official,2,yes,yes,female,married/widowed,1
>= 200 DM ,26,existing credits paid back duly till now,car (new),2356,100 <= <500 DM,1<= < 4 years,4,guarantor,4,savings agreement/life insurance,32,bank,rent,2,skilled employee / official,2,yes,yes,male,divorced/separated,0
0 <= <200 DM,23,all credits at this bank paid back duly,car (new),4344,500 <= < 1000 DM,>=7 years,4,guarantor,4,real estate,38,bank,rent,2,management/ highly qualified employee,2,yes,yes,male,married/widowed,1
>= 200 DM ,18,no credits taken,radio/television,3797,100 <= <500 DM,4<= <7 years,4,co-applicant,3,unknown / no property,30,bank,own,2,unemployed/ unskilled  - non-resident,2,yes,no,male,married/widowed,0
no account,18,delay in paying off,business,3176,500 <= < 1000 DM,unemployed,4,none,4,car or other,34,bank,for free,2,management/ highly qualified employee,2,none,yes,male,married/widowed,0
<0 DM,23,existing credits paid back duly till now,repairs,3141,500 <= < 1000 DM,<1 years,4,guarantor,4,real estate,38,store,rent,2,skilled employee / official,2,yes,no,male,married/widowed,1
<0 DM,25,no credits taken,car (new),3479,100 <= <500 DM,4<= <7 years,3,guarantor,4,car or other,39,store,for free,2,management/ highly qualified employee,2,yes,no,female,married/widowed,0
<0 DM,24,no credits taken,radio/television,2162,<100 DM,1<= < 4 years,3,co-applicant,3,real estate,33,none,rent,2,unskilled - resident,2,none,yes,female,divorced/separated,0
no account,16,all credits at this bank paid back duly,radio/television,4011,500 <= < 1000 DM,unemployed,3,guarantor,4,real estate,40,none,own,2,unskilled - resident,2,none,yes,male,divorced/separated,1
<0 DM,19,no credits taken,retraining,2798,>= 1000 DM,4<= <7 years,4,none,4,unknown / no property,27,none,for free,2,unemployed/ unskilled  - non-resident,2,yes,yes,female,married/widowed,0
<0 DM,19,existing credits paid back duly till now,retraining,3104,<100 DM,>=7 years,3,guarantor,4,unknown / no property,42,none,rent,2,skilled employee / official,2,none,yes,female,divorced/separated,0
