checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
>= 200 DM ,16,all credits at this bank paid back duly,repairs,3292,no savings account,<1 years,4,co-applicant,3,savings agreement/life insurance,35,bank,for free,2,skilled employee / official,2,none,no,female,married/widowed,0
>= 200 DM ,26,existing credits paid back duly till now,business,2371,<100 DM,4<= <7 years,3,none,3,savings agreement/life insurance,35,bank,rent,2,skilled employee / official,2,yes,no,male,divorced/separated,0
>= 200 DM ,20,all credits at this bank paid back duly,others,3632,500 <= < 1000 DM,>=7 years,3,co-applicant,3,car or other,34,bank,for free,2,skilled employee / official,1,none,no,male,divorced/separated,1
>= 200 DM ,32,all credits at this bank paid back duly,business,4549,500 <= < 1000 DM,1<= < 4 years,3,guarantor,3,car or other,41,none,own,2,unemployed/ unskilled  - non-resident,2,none,yes,female,married/widowed,1
0 <= <200 DM,21,critical account,repairs,3333,>= 1000 DM,unemployed,3,guarantor,4,car or other,36,store,for free,2,skilled employee / official,2,yes,no,male,married/widowed,0
<0 DM,25,no credits taken,car (new),3300,100 <= <500 DM,4<= <7 years,4,guarantor,3,real estate,38,store,for free,2,skilled employee / official,2,none,yes,male,married/widowed,1
0 <= <200 DM,19,existing credits paid back duly till now,furniture/equipment,3391,<100 DM,unemployed,4,guarantor,4,unknown / no property,36,store,own,2,unemployed/ unskilled  - non-resident,2,yes,no,male,divorced/separated,1
<0 DM,24,no credits taken,car (new),4689,no savings account,unemployed,3,none,3,savings agreement/life insurance,31,none,own,2,skilled employee / official,2,yes,no,male,divorced/separated,1
>= 200 DM ,24,no credits taken,business,2799,>= 1000 DM,>=7 years,4,co-applicant,3,car or other,43,none,own,2,skilled employee / official,2,yes,no,male,married/widowed,0
>= 200 DM ,19,all credits at this bank paid back duly,furniture/equipment,3027,500 <= < 1000 DM,4<= <7 years,3,guarantor,2,savings agreement/life insurance,34,bank,for free,2,unemployed/ unskilled  - non-resident,2,none,no,male,divorced/separated,0
no account,23,existing credits paid back duly till now,repairs,1052,>= 1000 DM,1<= < 4 years,3,guarantor,3,unknown / no property,31,none,rent,2,unemployed/ unskilled  - non-resident,2,none,no,female,divorced/separated,1
