checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
no account,4.0,critical account,retraining,2365.6,>= 1000 DM,1<= < 4 years,3.0,none,4.0,car or other,1,none,for free,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
no account,12.0,existing credits paid back duly till now,radio/television,3638.3418,<100 DM,4<= <7 years,1.0,none,3.3185694,car or other,1,bank,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,18.0,existing credits paid back duly till now,radio/television,1923.4265,500 <= < 1000 DM,1<= < 4 years,2.0,co-applicant,1.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
no account,48.0,existing credits paid back duly till now,radio/television,3150.304,<100 DM,1<= < 4 years,4.0,none,3.0,unknown / no property,1,none,own,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
no account,6.1087866,critical account,repairs,1135.6188,no savings account,>=7 years,4.0,none,1.0,car or other,1,none,for free,1.0,unskilled - resident,1.0,none,yes,0,divorced/separated,0
>= 200 DM ,18.0,critical account,radio/television,3832.6067,<100 DM,4<= <7 years,4.0,none,4.0,real estate,1,none,for free,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
no account,12.0,existing credits paid back duly till now,radio/television,250.0,>= 1000 DM,>=7 years,4.0,none,1.0,unknown / no property,1,none,rent,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
no account,4.0,critical account,car (new),18424.0,no savings account,>=7 years,4.0,none,4.0,car or other,1,none,own,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
0 <= <200 DM,15.0,critical account,others,1509.4058,<100 DM,<1 years,1.0,none,2.0,real estate,0,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,0
<0 DM,21.0,critical account,others,4868.092,no savings account,>=7 years,4.0,none,4.0,real estate,1,none,own,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,0
<0 DM,18.48201,existing credits paid back duly till now,car (new),250.0,<100 DM,>=7 years,2.0,none,1.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,0
<0 DM,14.403313,delay in paying off,furniture/equipment,4115.029,no savings account,4<= <7 years,4.0,none,4.0,real estate,1,none,for free,1.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,1
<0 DM,72.0,existing credits paid back duly till now,radio/television,1281.1262,500 <= < 1000 DM,>=7 years,4.0,none,3.0,car or other,1,none,for free,2.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,0
no account,18.0,critical account,repairs,4237.1387,100 <= <500 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,1,none,own,1.0,skilled employee / official,1.0,none,no,1,divorced/separated,1
no account,12.0,existing credits paid back duly till now,furniture/equipment,1511.9078,<100 DM,<1 years,3.888668,co-applicant,2.0,car or other,1,none,own,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
0 <= <200 DM,72.0,existing credits paid back duly till now,car (new),10711.797,500 <= < 1000 DM,<1 years,4.0,none,4.0,car or other,1,bank,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,6.0,no credits taken,education,1531.3956,no savings account,4<= <7 years,2.0,none,4.0,car or other,1,bank,own,1.0,unemployed/ unskilled  - non-resident,1.0,yes,yes,0,divorced/separated,0
no account,18.0,existing credits paid back duly till now,furniture/equipment,2645.8967,<100 DM,4<= <7 years,2.0,none,4.0,real estate,0,none,own,1.0,unskilled - resident,1.0,none,yes,1,married/widowed,0
0 <= <200 DM,15.0,critical account,car (new),1681.7687,<100 DM,4<= <7 years,2.0,none,2.0,unknown / no property,1,store,own,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
no account,22.877748,existing credits paid back duly till now,others,2859.6528,no savings account,unemployed,2.0,none,1.0,real estate,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,12.0,existing credits paid back duly till now,domestic appliances,2335.3232,<100 DM,4<= <7 years,2.0,none,2.0,unknown / no property,1,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,1,married/widowed,1
<0 DM,4.0,critical account,car (new),1945.062,<100 DM,1<= < 4 years,3.0,none,2.0,real estate,0,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
<0 DM,12.0,existing credits paid back duly till now,radio/television,18424.0,<100 DM,4<= <7 years,4.0,none,4.0,real estate,1,none,own,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
<0 DM,24.0,existing credits paid back duly till now,radio/television,18424.0,>= 1000 DM,4<= <7 years,4.0,none,4.0,car or other,1,store,own,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
0 <= <200 DM,6.0,delay in paying off,car (new),1951.559,<100 DM,>=7 years,2.0,none,4.0,real estate,1,none,own,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
<0 DM,4.0,no credits taken,radio/television,3644.8726,<100 DM,>=7 years,4.0,none,4.0,unknown / no property,1,bank,own,4.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
<0 DM,11.166657,critical account,car (new),1827.8502,500 <= < 1000 DM,1<= < 4 years,4.0,none,3.0,unknown / no property,1,none,own,2.0,unskilled - resident,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,12.0,existing credits paid back duly till now,radio/television,741.4261,no savings account,>=7 years,4.0,none,2.0,car or other,1,none,own,1.0,management/ highly qualified employee,1.0,yes,yes,1,divorced/separated,1
no account,18.0,existing credits paid back duly till now,radio/television,3040.8796,<100 DM,>=7 years,4.0,none,3.0,unknown / no property,1,none,own,4.0,unemployed/ unskilled  - non-resident,1.0,none,yes,1,divorced/separated,0
no account,6.0,all credits at this bank paid back duly,car (new),2344.2708,<100 DM,<1 years,4.0,none,2.0,unknown / no property,1,store,own,2.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
<0 DM,18.0,existing credits paid back duly till now,radio/television,1272.4304,<100 DM,unemployed,2.0,none,2.0,unknown / no property,1,none,rent,1.0,unskilled - resident,1.0,yes,yes,1,divorced/separated,1
0 <= <200 DM,18.0,existing credits paid back duly till now,car (new),3064.3447,<100 DM,unemployed,4.0,none,3.0,unknown / no property,1,none,own,1.0,management/ highly qualified employee,1.0,yes,yes,1,divorced/separated,0
no account,10.567149,critical account,others,9254.874,<100 DM,1<= < 4 years,2.0,none,1.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,none,yes,0,married/widowed,0
0 <= <200 DM,24.0,existing credits paid back duly till now,car (used),2015.9009,<100 DM,4<= <7 years,4.0,none,4.0,real estate,1,none,own,2.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
<0 DM,4.0,existing credits paid back duly till now,car (used),1386.643,<100 DM,>=7 years,2.0,none,3.0,car or other,1,none,rent,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
no account,72.0,critical account,car (new),18424.0,<100 DM,>=7 years,4.0,none,4.0,car or other,1,none,own,1.0,skilled employee / official,2.0,none,yes,0,divorced/separated,0
no account,24.0,delay in paying off,radio/television,5991.418,>= 1000 DM,1<= < 4 years,1.0,none,2.0,car or other,1,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
<0 DM,6.0,existing credits paid back duly till now,car (new),2352.5203,<100 DM,4<= <7 years,1.0,none,2.0,savings agreement/life insurance,1,bank,rent,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
0 <= <200 DM,6.1168427,all credits at this bank paid back duly,business,1901.8331,<100 DM,1<= < 4 years,1.7894037,none,1.0,unknown / no property,0,none,own,1.0,unskilled - resident,1.0,yes,yes,1,divorced/separated,1
no account,9.0,no credits taken,radio/television,2300.0342,<100 DM,1<= < 4 years,1.0,none,4.0,real estate,1,store,for free,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,0
no account,12.0,existing credits paid back duly till now,radio/television,2493.3826,100 <= <500 DM,4<= <7 years,4.0,none,4.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
>= 200 DM ,14.9006815,critical account,car (new),4128.2686,<100 DM,<1 years,4.0,none,4.0,car or other,1,bank,own,2.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
>= 200 DM ,4.0,existing credits paid back duly till now,others,1196.72,no savings account,>=7 years,4.0,none,4.0,car or other,1,none,own,1.0323759,skilled employee / official,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,24.0,critical account,education,1561.2848,<100 DM,1<= < 4 years,4.0,none,4.0,car or other,1,none,own,1.0,unskilled - resident,1.0,none,yes,0,divorced/separated,0
0 <= <200 DM,21.0,existing credits paid back duly till now,radio/television,2999.289,<100 DM,>=7 years,4.0,none,2.0,savings agreement/life insurance,1,none,for free,1.0,skilled employee / official,1.0,none,yes,1,married/widowed,1
>= 200 DM ,24.0,critical account,radio/television,14068.15,no savings account,4<= <7 years,4.0,none,2.0,car or other,1,none,own,4.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,12.0,existing credits paid back duly till now,radio/television,754.94305,500 <= < 1000 DM,1<= < 4 years,4.0,none,4.0,savings agreement/life insurance,1,bank,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
<0 DM,9.0,no credits taken,radio/television,18424.0,<100 DM,1<= < 4 years,1.0,none,4.0,savings agreement/life insurance,1,bank,own,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
0 <= <200 DM,34.439896,critical account,others,929.85596,<100 DM,>=7 years,4.0,none,1.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,10.0,existing credits paid back duly till now,radio/television,1160.5867,<100 DM,>=7 years,4.0,none,4.0,unknown / no property,1,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,0
no account,4.0,existing credits paid back duly till now,car (new),1927.6409,<100 DM,>=7 years,2.0,none,4.0,savings agreement/life insurance,1,bank,for free,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,0
<0 DM,72.0,critical account,radio/television,4232.243,<100 DM,>=7 years,4.0,none,2.0,unknown / no property,1,none,own,4.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,0
<0 DM,4.0,critical account,car (new),1488.2291,>= 1000 DM,>=7 years,2.0,none,2.0,unknown / no property,1,none,own,1.0,unskilled - resident,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,6.0,existing credits paid back duly till now,radio/television,18424.0,>= 1000 DM,1<= < 4 years,1.0,none,4.0,real estate,1,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
