checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
0 <= <200 DM,23,delay in paying off,radio/television,2662,<100 DM,>=7 years,3,co-applicant,3,real estate,0,none,own,2,unemployed/ unskilled  - non-resident,2,yes,yes,0,divorced/separated,0
<0 DM,25,existing credits paid back duly till now,others,4388,500 <= < 1000 DM,>=7 years,3,none,3,car or other,1,store,rent,2,unemployed/ unskilled  - non-resident,2,none,yes,1,married/widowed,0
<0 DM,27,existing credits paid back duly till now,radio/television,4008,500 <= < 1000 DM,1<= < 4 years,3,co-applicant,3,savings agreement/life insurance,0,bank,own,2,unskilled - resident,2,none,no,0,divorced/separated,0
0 <= <200 DM,23,no credits taken,retraining,4544,<100 DM,unemployed,4,co-applicant,3,unknown / no property,1,bank,for free,2,skilled employee / official,2,none,yes,1,married/widowed,1
no account,19,all credits at this bank paid back duly,car (used),3429,500 <= < 1000 DM,1<= < 4 years,3,none,3,savings agreement/life insurance,1,bank,rent,2,management/ highly qualified employee,2,none,no,1,divorced/separated,0
>= 200 DM ,21,delay in paying off,car (used),2843,500 <= < 1000 DM,>=7 years,3,guarantor,3,unknown / no property,1,bank,for free,2,management/ highly qualified employee,2,none,yes,1,divorced/separated,1
>= 200 DM ,21,no credits taken,others,4000,100 <= <500 DM,unemployed,4,none,3,car or other,0,store,rent,2,unemployed/ unskilled  - non-resident,2,none,no,0,married/widowed,0
no account,30,all credits at this bank paid back duly,business,2883,no savings account,>=7 years,3,none,3,savings agreement/life insurance,1,none,rent,2,unskilled - resident,2,yes,no,0,divorced/separated,1
0 <= <200 DM,23,existing credits paid back duly till now,domestic appliances,2318,<100 DM,<1 years,3,none,3,unknown / no property,0,store,own,2,unskilled - resident,2,none,no,0,divorced/separated,0
0 <= <200 DM,25,no credits taken,car (new),2844,100 <= <500 DM,1<= < 4 years,3,guarantor,3,savings agreement/life insurance,1,bank,own,2,skilled employee / official,2,none,yes,1,divorced/separated,1
0 <= <200 DM,24,all credits at this bank paid back duly,car (new),4560,<100 DM,unemployed,3,guarantor,3,real estate,1,none,own,2,management/ highly qualified employee,2,yes,yes,1,married/widowed,0
no account,23,critical account,repairs,3922,100 <= <500 DM,>=7 years,3,co-applicant,3,car or other,1,store,for free,2,management/ highly qualified employee,2,none,yes,1,divorced/separated,0
no account,24,critical account,domestic appliances,2296,>= 1000 DM,unemployed,3,none,3,savings agreement/life insurance,1,none,for free,2,unemployed/ unskilled  - non-resident,2,none,no,0,married/widowed,0
>= 200 DM ,19,critical account,car (used),2129,100 <= <500 DM,<1 years,4,none,4,car or other,0,store,for free,2,skilled employee / official,2,none,yes,0,married/widowed,0
0 <= <200 DM,30,existing credits paid back duly till now,domestic appliances,3562,no savings account,4<= <7 years,3,co-applicant,3,car or other,0,store,for free,2,unskilled - resident,2,yes,no,1,married/widowed,0
0 <= <200 DM,27,critical account,education,4836,100 <= <500 DM,<1 years,4,guarantor,4,savings agreement/life insurance,0,store,for free,2,management/ highly qualified employee,2,yes,yes,0,married/widowed,0
<0 DM,19,all credits at this bank paid back duly,business,2959,100 <= <500 DM,<1 years,3,none,3,car or other,1,bank,own,2,skilled employee / official,2,none,yes,1,divorced/separated,0
<0 DM,32,existing credits paid back duly till now,repairs,4709,100 <= <500 DM,1<= < 4 years,3,co-applicant,3,savings agreement/life insurance,1,store,rent,2,management/ highly qualified employee,2,none,no,1,divorced/separated,0
<0 DM,20,critical account,repairs,4161,500 <= < 1000 DM,<1 years,3,guarantor,3,car or other,1,store,rent,2,management/ highly qualified employee,2,yes,no,0,married/widowed,0
<0 DM,22,critical account,retraining,3774,>= 1000 DM,<1 years,4,none,3,car or other,0,bank,rent,2,management/ highly qualified employee,2,none,no,0,married/widowed,0
0 <= <200 DM,24,all credits at this bank paid back duly,furniture/equipment,4124,500 <= < 1000 DM,>=7 years,4,co-applicant,3,savings agreement/life insurance,0,none,for free,2,management/ highly qualified employee,2,none,no,1,married/widowed,1
no account,22,no credits taken,education,4931,500 <= < 1000 DM,unemployed,3,none,3,car or other,1,store,own,2,unskilled - resident,2,yes,no,1,married/widowed,1
>= 200 DM ,25,critical account,domestic appliances,3322,>= 1000 DM,unemployed,4,co-applicant,3,savings agreement/life insurance,0,none,own,2,unemployed/ unskilled  - non-resident,2,none,yes,0,married/widowed,1
>= 200 DM ,23,existing credits paid back duly till now,furniture/equipment,4145,100 <= <500 DM,<1 years,4,co-applicant,3,savings agreement/life insurance,1,none,own,2,unemployed/ unskilled  - non-resident,2,none,yes,1,divorced/separated,0
0 <= <200 DM,25,no credits taken,repairs,2563,500 <= < 1000 DM,4<= <7 years,3,none,3,real estate,1,bank,rent,2,unskilled - resident,2,yes,yes,1,divorced/separated,0
0 <= <200 DM,16,existing credits paid back duly till now,repairs,3009,<100 DM,unemployed,3,guarantor,3,unknown / no property,1,none,for free,2,skilled employee / official,2,yes,yes,0,divorced/separated,1
<0 DM,21,critical account,furniture/equipment,4602,100 <= <500 DM,unemployed,4,none,3,car or other,1,bank,own,2,unskilled - resident,2,none,yes,1,divorced/separated,0
0 <= <200 DM,18,all credits at this bank paid back duly,business,3859,500 <= < 1000 DM,4<= <7 years,4,co-applicant,4,real estate,1,none,own,2,management/ highly qualified employee,2,yes,yes,1,divorced/separated,0
no account,23,critical account,domestic appliances,2316,100 <= <500 DM,4<= <7 years,3,guarantor,4,unknown / no property,1,bank,own,2,skilled employee / official,2,yes,no,0,divorced/separated,1
0 <= <200 DM,25,existing credits paid back duly till now,retraining,2481,<100 DM,<1 years,4,co-applicant,3,car or other,1,bank,rent,2,unemployed/ unskilled  - non-resident,2,yes,yes,0,divorced/separated,1
<0 DM,28,critical account,others,2714,>= 1000 DM,unemployed,3,none,3,car or other,1,none,rent,2,management/ highly qualified employee,2,none,no,0,divorced/separated,0
0 <= <200 DM,16,critical account,furniture/equipment,2912,500 <= < 1000 DM,unemployed,3,guarantor,3,savings agreement/life insurance,0,bank,rent,2,unskilled - resident,2,none,yes,0,divorced/separated,1
<0 DM,21,no credits taken,radio/television,3182,100 <= <500 DM,<1 years,3,guarantor,3,unknown / no property,1,bank,own,2,unemployed/ unskilled  - non-resident,2,none,yes,1,divorced/separated,0
no account,21,all credits at this bank paid back duly,repairs,5405,500 <= < 1000 DM,4<= <7 years,4,co-applicant,3,car or other,0,store,for free,2,management/ highly qualified employee,2,yes,yes,0,married/widowed,0
<0 DM,18,no credits taken,car (new),3263,100 <= <500 DM,<1 years,3,none,4,real estate,0,bank,own,2,unskilled - resident,2,none,yes,0,married/widowed,0
no account,22,critical account,car (used),3423,>= 1000 DM,1<= < 4 years,3,co-applicant,3,car or other,1,none,rent,2,unskilled - resident,2,none,no,0,divorced/separated,0
<0 DM,24,no credits taken,others,4220,>= 1000 DM,1<= < 4 years,4,co-applicant,3,savings agreement/life insurance,1,bank,rent,2,unemployed/ unskilled  - non-resident,2,yes,yes,1,divorced/separated,1
