checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
<0 DM,24.0,delay in paying off,furniture/equipment,810.774,no savings account,>=7 years,4.0,co-applicant,4.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
<0 DM,6.0,existing credits paid back duly till now,car (used),2346.8794,<100 DM,>=7 years,2.0,none,1.0,car or other,1,none,for free,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,0
no account,72.0,delay in paying off,domestic appliances,18424.0,<100 DM,<1 years,4.0,none,1.0,real estate,1,none,own,4.0,unskilled - resident,1.0,yes,yes,0,divorced/separated,1
no account,24.0,existing credits paid back duly till now,car (new),1109.4934,100 <= <500 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,1,none,own,1.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,0
no account,18.0,all credits at this bank paid back duly,radio/television,250.0,500 <= < 1000 DM,1<= < 4 years,4.0,none,4.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,9.0,existing credits paid back duly till now,car (new),2278.843,<100 DM,>=7 years,4.0,guarantor,3.0,car or other,1,none,rent,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
<0 DM,4.0,existing credits paid back duly till now,furniture/equipment,250.0,<100 DM,4<= <7 years,1.0,none,1.0,unknown / no property,0,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
<0 DM,15.0,existing credits paid back duly till now,furniture/equipment,656.66376,<100 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,1,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,1
<0 DM,72.0,existing credits paid back duly till now,car (new),3017.163,<100 DM,1<= < 4 years,4.0,none,3.0,real estate,0,none,own,2.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
no account,12.0,existing credits paid back duly till now,radio/television,1133.6194,<100 DM,4<= <7 years,3.0,none,4.0,unknown / no property,1,none,rent,1.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,1
<0 DM,18.0,delay in paying off,radio/television,1236.0,no savings account,>=7 years,4.0,none,2.0,real estate,1,none,for free,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,0
no account,24.0,existing credits paid back duly till now,business,2301.4294,<100 DM,<1 years,4.0,none,2.0,unknown / no property,0,none,for free,2.0,unskilled - resident,1.0,none,yes,1,divorced/separated,1
<0 DM,6.0,all credits at this bank paid back duly,car (new),673.0652,<100 DM,unemployed,4.0,none,4.0,car or other,1,bank,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
0 <= <200 DM,24.0,existing credits paid back duly till now,car (new),18424.0,<100 DM,>=7 years,4.0,none,2.0,car or other,0,none,own,2.0,management/ highly qualified employee,1.0,none,yes,0,divorced/separated,0
no account,72.0,critical account,business,18424.0,<100 DM,>=7 years,4.0,none,4.0,car or other,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,0
<0 DM,12.0,existing credits paid back duly till now,radio/television,1258.084,<100 DM,1<= < 4 years,4.0,none,1.0,real estate,1,bank,rent,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
>= 200 DM ,12.0,existing credits paid back duly till now,furniture/equipment,1743.2754,no savings account,1<= < 4 years,2.0,none,1.0,car or other,1,bank,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
<0 DM,18.0,existing credits paid back duly till now,business,2147.9666,<100 DM,1<= < 4 years,4.0,none,4.0,savings agreement/life insurance,0,none,own,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
no account,18.0,critical account,car (new),4591.1514,<100 DM,4<= <7 years,2.0,none,1.0,car or other,1,none,for free,1.0,management/ highly qualified employee,1.0,none,yes,0,divorced/separated,1
no account,12.0,existing credits paid back duly till now,furniture/equipment,6758.6587,<100 DM,<1 years,2.0,none,2.0,car or other,1,none,rent,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,0
no account,4.0,existing credits paid back duly till now,retraining,1222.6907,no savings account,<1 years,4.0,none,1.0,unknown / no property,1,none,rent,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
no account,72.0,critical account,furniture/equipment,2515.852,<100 DM,1<= < 4 years,4.0,none,4.0,real estate,1,none,own,2.0,unskilled - resident,1.0,yes,yes,1,divorced/separated,1
0 <= <200 DM,72.0,existing credits paid back duly till now,radio/television,3553.7449,no savings account,>=7 years,4.0,none,4.0,car or other,1,none,rent,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
no account,6.0,existing credits paid back duly till now,car (used),2104.8083,no savings account,4<= <7 years,4.0,none,3.0,savings agreement/life insurance,0,store,own,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,0
0 <= <200 DM,24.0,existing credits paid back duly till now,car (new),1706.5646,<100 DM,<1 years,3.0,none,3.0,car or other,1,none,own,2.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
no account,18.0,critical account,car (new),653.06915,<100 DM,>=7 years,3.0,co-applicant,1.0,savings agreement/life insurance,0,none,own,1.0,skilled employee / official,1.0,yes,yes,1,married/widowed,1
no account,6.0,critical account,domestic appliances,2442.7812,<100 DM,>=7 years,2.0,none,2.0,real estate,1,store,own,1.0,unskilled - resident,1.0,none,yes,0,divorced/separated,1
no account,21.0,existing credits paid back duly till now,furniture/equipment,950.9854,no savings account,<1 years,2.0,none,4.0,real estate,0,none,rent,1.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,0
<0 DM,24.0,delay in paying off,radio/television,1439.7112,no savings account,1<= < 4 years,1.0,none,1.0,real estate,1,none,own,1.0,unemployed/ unskilled  - non-resident,1.0,yes,yes,1,divorced/separated,0
no account,4.0,existing credits paid back duly till now,radio/television,2473.9968,<100 DM,1<= < 4 years,2.0,none,3.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,married/widowed,0
no account,4.0,existing credits paid back duly till now,furniture/equipment,1351.1226,no savings account,1<= < 4 years,4.0,none,4.0,car or other,1,none,for free,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
<0 DM,18.0,critical account,radio/television,2879.2239,<100 DM,<1 years,1.0,none,4.0,real estate,1,bank,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,12.0,existing credits paid back duly till now,car (used),250.0,no savings account,<1 years,2.0,none,4.0,unknown / no property,1,none,own,1.0,unskilled - resident,1.0,none,yes,1,divorced/separated,0
<0 DM,72.0,existing credits paid back duly till now,radio/television,1311.739,<100 DM,<1 years,4.0,none,2.0,car or other,0,none,own,2.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
<0 DM,72.0,critical account,radio/television,1402.4702,<100 DM,<1 years,4.0,none,4.0,car or other,1,none,own,1.0,skilled employee / official,1.0,none,yes,0,married/widowed,1
<0 DM,21.0,critical account,furniture/equipment,3415.153,<100 DM,1<= < 4 years,1.0,none,1.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,0
no account,48.0,critical account,radio/television,250.0,<100 DM,1<= < 4 years,4.0,none,4.0,car or other,0,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
no account,4.0,existing credits paid back duly till now,radio/television,1494.2974,<100 DM,1<= < 4 years,4.0,none,4.0,real estate,1,none,rent,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,0
no account,36.0,existing credits paid back duly till now,radio/television,18424.0,<100 DM,<1 years,4.0,none,4.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
<0 DM,15.0,existing credits paid back duly till now,radio/television,6288.862,no savings account,>=7 years,2.0,none,4.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,0
no account,6.0,existing credits paid back duly till now,furniture/equipment,5800.889,no savings account,1<= < 4 years,1.0,none,3.0,unknown / no property,0,none,own,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
<0 DM,4.0,existing credits paid back duly till now,car (used),2285.9712,<100 DM,>=7 years,4.0,none,4.0,unknown / no property,0,none,own,1.0,unskilled - resident,1.0,none,no,1,divorced/separated,1
<0 DM,12.0,delay in paying off,furniture/equipment,18424.0,<100 DM,4<= <7 years,4.0,none,3.0,car or other,0,bank,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
<0 DM,18.0,existing credits paid back duly till now,radio/television,1952.3412,<100 DM,1<= < 4 years,3.0,none,1.0,real estate,1,bank,own,2.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,12.0,existing credits paid back duly till now,business,1154.0,<100 DM,1<= < 4 years,2.0,none,4.0,car or other,1,bank,own,2.0,skilled employee / official,1.0,none,yes,0,divorced/separated,0
<0 DM,14.0,critical account,radio/television,1220.1045,no savings account,<1 years,3.0,none,2.0,car or other,1,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,0
<0 DM,30.0,existing credits paid back duly till now,car (new),3577.3076,no savings account,<1 years,2.0,none,4.0,savings agreement/life insurance,1,none,own,1.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,1
