checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
no account,23,existing credits paid back duly till now,furniture/equipment,4444,500 <= < 1000 DM,4<= <7 years,4,co-applicant,3,unknown / no property,41,none,own,2,unskilled - resident,2,yes,yes,female,divorced/separated,1
<0 DM,22,delay in paying off,business,2639,no savings account,4<= <7 years,3,guarantor,3,car or other,37,store,own,2,unemployed/ unskilled  - non-resident,2,none,no,male,married/widowed,0
>= 200 DM ,22,no credits taken,retraining,2378,100 <= <500 DM,<1 years,4,guarantor,4,savings agreement/life insurance,36,store,rent,2,unskilled - resident,2,none,yes,male,divorced/separated,0
>= 200 DM ,23,existing credits paid back duly till now,radio/television,3707,100 <= <500 DM,>=7 years,3,guarantor,3,unknown / no property,34,bank,rent,2,unskilled - resident,2,yes,yes,female,divorced/separated,0
>= 200 DM ,21,all credits at this bank paid back duly,domestic appliances,3477,500 <= < 1000 DM,unemployed,3,guarantor,4,savings agreement/life insurance,40,none,own,2,unskilled - resident,2,yes,yes,male,married/widowed,1
no account,24,delay in paying off,domestic appliances,2155,100 <= <500 DM,>=7 years,3,co-applicant,3,real estate,39,store,rent,2,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1
<0 DM,24,critical account,furniture/equipment,3328,500 <= < 1000 DM,4<= <7 years,3,co-applicant,3,real estate,40,store,rent,2,unskilled - resident,2,yes,no,male,divorced/separated,1
no account,15,no credits taken,business,2570,>= 1000 DM,4<= <7 years,3,co-applicant,4,savings agreement/life insurance,26,bank,for free,2,unemployed/ unskilled  - non-resident,2,none,no,male,divorced/separated,1
<0 DM,25,existing credits paid back duly till now,furniture/equipment,2961,<100 DM,<1 years,3,none,3,savings agreement/life insurance,37,store,own,2,skilled employee / official,2,yes,yes,female,married/widowed,0
<0 DM,21,critical account,furniture/equipment,2603,100 <= <500 DM,unemployed,3,none,3,savings agreement/life insurance,39,store,own,2,skilled employee / official,2,yes,no,female,married/widowed,0
<0 DM,27,existing credits paid back duly till now,retraining,2124,>= 1000 DM,<1 years,3,guarantor,4,unknown / no property,40,none,own,2,management/ highly qualified employee,2,none,no,female,divorced/separated,1
<0 DM,31,existing credits paid back duly till now,others,3858,100 <= <500 DM,<1 years,3,none,3,unknown / no property,37,bank,for free,2,unskilled - resident,2,none,yes,female,divorced/separated,1
0 <= <200 DM,25,no credits taken,education,4587,100 <= <500 DM,<1 years,3,none,4,savings agreement/life insurance,41,store,own,2,skilled employee / official,2,yes,yes,female,married/widowed,0
<0 DM,20,no credits taken,education,4269,no savings account,<1 years,3,none,4,car or other,38,store,own,2,unskilled - resident,2,yes,yes,female,married/widowed,0
<0 DM,32,delay in paying off,radio/television,3806,no savings account,<1 years,4,none,3,unknown / no property,38,none,own,2,management/ highly qualified employee,2,none,yes,male,married/widowed,0
<0 DM,21,no credits taken,retraining,3736,500 <= < 1000 DM,<1 years,3,guarantor,4,unknown / no property,41,bank,own,2,unskilled - resident,2,none,no,male,divorced/separated,1
>= 200 DM ,22,delay in paying off,car (new),3121,500 <= < 1000 DM,>=7 years,3,none,4,savings agreement/life insurance,34,none,rent,2,unskilled - resident,2,yes,yes,female,married/widowed,0
>= 200 DM ,24,no credits taken,domestic appliances,3318,no savings account,4<= <7 years,3,none,3,real estate,44,bank,own,2,unskilled - resident,2,yes,yes,male,divorced/separated,0
<0 DM,14,no credits taken,education,3925,<100 DM,>=7 years,3,guarantor,4,unknown / no property,39,store,own,2,skilled employee / official,2,yes,no,male,divorced/separated,0
<0 DM,24,no credits taken,others,2949,100 <= <500 DM,1<= < 4 years,4,co-applicant,3,savings agreement/life insurance,34,none,for free,2,unskilled - resident,2,none,yes,male,married/widowed,0
0 <= <200 DM,23,no credits taken,business,2389,500 <= < 1000 DM,1<= < 4 years,3,co-applicant,4,real estate,37,store,rent,2,skilled employee / official,2,none,no,female,divorced/separated,1
>= 200 DM ,21,all credits at this bank paid back duly,car (new),2973,100 <= <500 DM,unemployed,3,none,3,savings agreement/life insurance,38,none,rent,2,unskilled - resident,2,none,yes,female,married/widowed,0
no account,22,delay in paying off,retraining,3798,500 <= < 1000 DM,<1 years,3,guarantor,4,unknown / no property,36,bank,for free,2,skilled employee / official,2,yes,yes,female,divorced/separated,1
<0 DM,20,all credits at this bank paid back duly,domestic appliances,3109,500 <= < 1000 DM,unemployed,3,none,4,car or other,41,store,rent,2,unskilled - resident,2,yes,yes,male,divorced/separated,1
no account,22,no credits taken,domestic appliances,2039,100 <= <500 DM,<1 years,3,guarantor,4,unknown / no property,38,none,own,2,skilled employee / official,2,none,no,male,divorced/separated,1
>= 200 DM ,29,no credits taken,others,3796,no savings account,1<= < 4 years,3,co-applicant,3,unknown / no property,31,store,for free,2,unemployed/ unskilled  - non-resident,1,yes,yes,female,married/widowed,0
<0 DM,25,no credits taken,furniture/equipment,4010,no savings account,<1 years,3,none,3,savings agreement/life insurance,38,bank,own,2,unskilled - resident,2,yes,yes,male,divorced/separated,1
<0 DM,25,delay in paying off,furniture/equipment,3790,no savings account,<1 years,4,co-applicant,4,savings agreement/life insurance,38,bank,rent,2,skilled employee / official,2,none,yes,male,married/widowed,0
>= 200 DM ,23,no credits taken,radio/television,2638,500 <= < 1000 DM,unemployed,3,guarantor,4,unknown / no property,33,none,own,2,unskilled - resident,2,yes,yes,female,married/widowed,0
no account,26,delay in paying off,education,3406,500 <= < 1000 DM,1<= < 4 years,4,co-applicant,3,car or other,32,none,for free,2,skilled employee / official,2,none,yes,female,married/widowed,1
>= 200 DM ,22,delay in paying off,radio/television,2107,no savings account,<1 years,4,guarantor,4,car or other,32,bank,rent,2,unskilled - resident,2,none,yes,male,married/widowed,0
0 <= <200 DM,22,delay in paying off,others,3084,no savings account,>=7 years,4,guarantor,4,savings agreement/life insurance,33,store,own,2,unskilled - resident,2,none,yes,male,divorced/separated,1
no account,21,no credits taken,retraining,3600,no savings account,<1 years,4,guarantor,4,unknown / no property,36,none,rent,2,unskilled - resident,2,yes,yes,female,divorced/separated,0
<0 DM,16,critical account,business,1895,500 <= < 1000 DM,1<= < 4 years,4,guarantor,3,real estate,42,bank,rent,2,unskilled - resident,2,none,yes,male,divorced/separated,1
<0 DM,21,all credits at this bank paid back duly,business,1911,no savings account,1<= < 4 years,4,none,4,savings agreement/life insurance,36,none,own,2,unskilled - resident,2,none,yes,male,married/widowed,0
>= 200 DM ,32,no credits taken,business,2588,no savings account,1<= < 4 years,3,none,4,savings agreement/life insurance,32,bank,own,2,unemployed/ unskilled  - non-resident,1,none,yes,male,married/widowed,1
<0 DM,22,delay in paying off,car (new),3037,100 <= <500 DM,1<= < 4 years,4,guarantor,3,car or other,38,store,rent,2,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1
>= 200 DM ,19,no credits taken,repairs,3167,100 <= <500 DM,<1 years,3,none,4,unknown / no property,39,none,own,2,skilled employee / official,2,none,yes,male,divorced/separated,1
no account,27,critical account,furniture/equipment,1811,500 <= < 1000 DM,unemployed,3,none,3,real estate,38,none,rent,2,unskilled - resident,2,yes,yes,female,divorced/separated,0
<0 DM,17,no credits taken,radio/television,1878,<100 DM,unemployed,4,guarantor,3,real estate,32,none,for free,2,unemployed/ unskilled  - non-resident,2,none,yes,male,married/widowed,0
no account,30,delay in paying off,education,4708,no savings account,unemployed,4,none,4,savings agreement/life insurance,26,none,rent,2,unskilled - resident,2,yes,yes,female,divorced/separated,0
>= 200 DM ,21,delay in paying off,furniture/equipment,3031,>= 1000 DM,>=7 years,4,co-applicant,3,savings agreement/life insurance,37,none,rent,2,unemployed/ unskilled  - non-resident,2,none,yes,male,married/widowed,0
<0 DM,20,no credits taken,education,3097,>= 1000 DM,<1 years,4,guarantor,3,unknown / no property,31,none,own,2,unskilled - resident,2,yes,no,female,divorced/separated,1
no account,23,delay in paying off,retraining,2979,<100 DM,<1 years,4,guarantor,4,car or other,30,bank,for free,2,unskilled - resident,2,yes,yes,male,divorced/separated,1
<0 DM,29,delay in paying off,car (used),6352,100 <= <500 DM,<1 years,4,guarantor,3,savings agreement/life insurance,33,bank,for free,2,unemployed/ unskilled  - non-resident,2,yes,yes,female,married/widowed,0
<0 DM,20,delay in paying off,car (new),4814,no savings account,<1 years,4,none,4,savings agreement/life insurance,38,none,rent,2,unskilled - resident,2,yes,yes,male,divorced/separated,0
<0 DM,15,no credits taken,radio/television,2743,<100 DM,4<= <7 years,3,none,4,savings agreement/life insurance,45,bank,own,2,unskilled - resident,2,yes,no,male,married/widowed,1
<0 DM,21,no credits taken,car (used),4825,no savings account,<1 years,4,none,4,savings agreement/life insurance,39,store,own,2,unskilled - resident,2,none,yes,male,married/widowed,1
no account,23,all credits at this bank paid back duly,radio/television,2906,500 <= < 1000 DM,unemployed,4,none,3,real estate,32,none,rent,2,management/ highly qualified employee,2,yes,yes,female,divorced/separated,1
0 <= <200 DM,13,no credits taken,furniture/equipment,4050,<100 DM,<1 years,4,none,3,savings agreement/life insurance,39,none,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,0
no account,28,critical account,furniture/equipment,3287,100 <= <500 DM,<1 years,3,none,4,savings agreement/life insurance,34,none,own,2,unskilled - resident,2,yes,yes,male,divorced/separated,1
