LIMIT_BAL,SEX,EDUCATION,MARITAL,AGE,PAY0,PAY2,PAY3,PAY4,PAY5,PAY6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,class-label
178066,0,5,2,1,6,4,6,5,3,-1,40343,95519,61691,56338,35722,40355,7642,8541,2915,5340,-458,13669,0
114514,0,3,1,0,0,-2,-1,-2,3,5,52783,43357,38641,54474,42032,37300,12162,7686,5761,13703,5281,10770,0
182630,0,0,2,0,2,8,4,4,2,3,50663,36041,37531,50671,29254,20133,7471,6658,10824,2073,6293,12869,1
163537,0,2,1,0,-1,-2,0,1,-1,4,49047,40522,47851,-1304,22105,43857,2626,9992,12730,5926,4559,-4174,1
218824,0,4,1,0,-2,4,6,-1,7,2,67196,58409,50888,57654,37402,33853,1335,8760,1758,242,4742,10516,1
117980,1,1,0,0,-1,1,3,5,8,-1,72089,31362,50059,25844,30136,50269,9902,4885,4941,10566,4144,6235,1
200793,1,3,3,1,-1,2,5,8,0,5,62433,37991,26881,73240,17684,20170,288,13723,1059,-79,7447,3937,0
164790,0,3,1,1,7,4,6,4,-2,7,52270,71320,47376,55182,30449,32300,-1789,5662,6012,4896,-337,5109,1
131935,1,6,2,1,-2,1,8,1,2,4,4081,28941,10179,37768,26814,7688,-1257,5603,-2170,5950,217,5892,0
161178,0,5,0,0,6,-2,4,5,7,4,80424,59714,54742,58811,37569,62272,9119,15052,-420,4640,2405,850,0
138969,0,5,2,1,8,-1,3,3,-2,6,32174,53523,65800,25348,16620,55637,2306,4216,1836,4876,-550,5472,0
174935,0,2,2,1,8,-1,-2,6,2,5,76043,53375,57746,70891,39598,47504,11477,8333,3792,12441,5815,9547,1
190706,0,2,3,1,0,4,2,2,3,4,27480,73164,16341,20770,68113,14408,4717,5940,1371,-1119,9932,2933,0
163636,1,5,3,1,5,-2,5,2,5,3,-13894,48058,13505,13680,40588,4404,-8039,13164,1680,3257,252,4204,1
149613,0,3,1,0,4,0,4,7,5,7,63137,94144,39101,29065,58389,29386,2613,2556,8684,5881,-635,2275,1
137652,1,5,1,0,-1,-1,-1,0,4,4,44187,91810,44210,38065,41102,56548,5057,4099,-1264,4807,-1396,8354,1
107579,0,0,0,1,0,-1,-2,4,8,0,38171,69183,40804,42033,37860,36927,6303,4724,4225,8138,-647,12903,0
214976,1,1,3,1,3,4,7,-2,-1,8,62189,42720,37766,23061,6098,51322,8952,8298,5191,3529,-1144,-999,0
114586,0,1,0,1,8,1,6,4,5,-1,43750,41725,36600,12999,26408,53278,4892,5723,2292,11933,3791,-3851,1
138144,0,5,2,1,6,4,3,0,8,5,-2930,65069,16053,51433,26043,17292,818,4886,1370,8174,-7213,13153,1
171168,1,3,3,0,0,0,7,0,4,6,58575,35855,52901,47334,17967,41726,11874,8044,6374,3852,5412,-1450,1
107264,1,6,3,0,5,-2,0,-1,2,4,21263,26401,42088,15503,34318,24384,-2515,10533,10860,13284,236,2794,1
172712,1,5,3,1,3,8,5,3,7,0,47563,66968,92349,66348,30074,34483,6028,12176,10221,8095,704,10403,1
139847,0,4,0,0,4,3,2,7,-2,6,36908,78595,58576,45948,75505,39240,1314,9466,2516,1226,5278,9316,0
