checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
>= 200 DM ,25,existing credits paid back duly till now,car (used),3664,>= 1000 DM,1<= < 4 years,3,none,3,savings agreement/life insurance,0,bank,rent,2,management/ highly qualified employee,2,yes,no,1,divorced/separated,0
<0 DM,21,existing credits paid back duly till now,education,4939,no savings account,4<= <7 years,4,none,3,unknown / no property,0,bank,for free,2,skilled employee / official,2,yes,no,1,married/widowed,0
no account,27,existing credits paid back duly till now,business,3242,<100 DM,<1 years,3,guarantor,4,real estate,1,none,rent,2,unemployed/ unskilled  - non-resident,2,yes,no,0,married/widowed,1
<0 DM,19,existing credits paid back duly till now,radio/television,3500,>= 1000 DM,<1 years,3,none,3,unknown / no property,1,store,for free,2,skilled employee / official,2,yes,no,0,divorced/separated,0
0 <= <200 DM,20,no credits taken,car (used),3579,<100 DM,4<= <7 years,3,none,4,unknown / no property,0,store,rent,2,unskilled - resident,1,yes,no,0,married/widowed,1
<0 DM,23,all credits at this bank paid back duly,furniture/equipment,3772,100 <= <500 DM,1<= < 4 years,3,guarantor,4,unknown / no property,0,store,rent,2,unskilled - resident,2,yes,yes,1,divorced/separated,1
no account,20,all credits at this bank paid back duly,furniture/equipment,3025,100 <= <500 DM,unemployed,4,none,3,real estate,0,store,for free,2,unskilled - resident,2,none,yes,1,divorced/separated,0
>= 200 DM ,23,all credits at this bank paid back duly,education,2313,100 <= <500 DM,<1 years,3,co-applicant,3,car or other,1,store,for free,2,management/ highly qualified employee,1,none,yes,0,married/widowed,1
0 <= <200 DM,20,all credits at this bank paid back duly,radio/television,3098,>= 1000 DM,<1 years,4,none,3,savings agreement/life insurance,0,bank,for free,2,unemployed/ unskilled  - non-resident,2,yes,no,0,married/widowed,1
0 <= <200 DM,23,all credits at this bank paid back duly,radio/television,4088,500 <= < 1000 DM,unemployed,3,guarantor,4,real estate,1,store,for free,2,skilled employee / official,2,none,no,0,married/widowed,1
no account,20,all credits at this bank paid back duly,repairs,2893,no savings account,<1 years,4,co-applicant,3,unknown / no property,0,none,rent,2,skilled employee / official,2,yes,yes,0,divorced/separated,0
<0 DM,29,all credits at this bank paid back duly,business,3557,<100 DM,4<= <7 years,3,guarantor,3,real estate,0,store,for free,2,unemployed/ unskilled  - non-resident,2,none,yes,1,divorced/separated,0
>= 200 DM ,20,existing credits paid back duly till now,repairs,3842,100 <= <500 DM,1<= < 4 years,4,guarantor,4,unknown / no property,1,store,rent,2,unskilled - resident,2,none,yes,1,divorced/separated,0
<0 DM,26,delay in paying off,retraining,2573,100 <= <500 DM,1<= < 4 years,3,co-applicant,4,real estate,0,none,rent,2,skilled employee / official,2,none,no,1,married/widowed,1
0 <= <200 DM,19,critical account,business,3129,500 <= < 1000 DM,1<= < 4 years,4,none,3,unknown / no property,1,bank,own,2,unskilled - resident,2,yes,yes,0,divorced/separated,1
<0 DM,20,all credits at this bank paid back duly,car (new),3035,no savings account,<1 years,4,none,3,savings agreement/life insurance,1,bank,for free,2,unemployed/ unskilled  - non-resident,2,yes,yes,0,married/widowed,1
<0 DM,27,existing credits paid back duly till now,domestic appliances,3958,100 <= <500 DM,unemployed,4,co-applicant,3,savings agreement/life insurance,0,bank,rent,2,management/ highly qualified employee,2,yes,no,1,divorced/separated,0
>= 200 DM ,24,no credits taken,car (new),2155,>= 1000 DM,>=7 years,3,none,3,unknown / no property,0,none,rent,2,management/ highly qualified employee,2,yes,yes,0,married/widowed,1
>= 200 DM ,21,existing credits paid back duly till now,business,2992,500 <= < 1000 DM,1<= < 4 years,4,co-applicant,3,unknown / no property,1,none,own,2,unemployed/ unskilled  - non-resident,2,none,yes,1,divorced/separated,1
0 <= <200 DM,19,all credits at this bank paid back duly,business,3817,>= 1000 DM,unemployed,3,none,4,savings agreement/life insurance,1,bank,own,2,management/ highly qualified employee,2,yes,yes,0,divorced/separated,1
0 <= <200 DM,19,existing credits paid back duly till now,business,2320,500 <= < 1000 DM,unemployed,4,co-applicant,4,unknown / no property,1,none,for free,2,skilled employee / official,2,yes,no,0,divorced/separated,0
0 <= <200 DM,21,existing credits paid back duly till now,furniture/equipment,3553,500 <= < 1000 DM,<1 years,3,none,3,real estate,1,none,rent,2,unskilled - resident,2,none,yes,1,married/widowed,1
no account,22,no credits taken,others,2275,500 <= < 1000 DM,1<= < 4 years,3,none,4,real estate,1,store,for free,2,unskilled - resident,2,none,yes,0,divorced/separated,0
<0 DM,24,critical account,domestic appliances,3999,500 <= < 1000 DM,>=7 years,3,co-applicant,4,unknown / no property,0,none,rent,2,management/ highly qualified employee,2,none,yes,1,divorced/separated,1
0 <= <200 DM,24,delay in paying off,others,3151,<100 DM,4<= <7 years,4,none,3,car or other,1,bank,rent,2,unskilled - resident,2,yes,yes,1,divorced/separated,1
<0 DM,19,all credits at this bank paid back duly,radio/television,4077,100 <= <500 DM,unemployed,4,guarantor,3,savings agreement/life insurance,1,store,for free,2,unemployed/ unskilled  - non-resident,2,yes,no,0,divorced/separated,1
no account,25,delay in paying off,furniture/equipment,2610,500 <= < 1000 DM,unemployed,4,co-applicant,3,car or other,0,none,for free,2,management/ highly qualified employee,2,none,no,1,divorced/separated,0
0 <= <200 DM,19,critical account,others,2113,>= 1000 DM,<1 years,4,none,3,real estate,0,store,own,2,management/ highly qualified employee,2,yes,yes,1,divorced/separated,0
0 <= <200 DM,20,no credits taken,car (used),2800,500 <= < 1000 DM,<1 years,3,none,4,real estate,1,none,for free,2,unskilled - resident,2,yes,no,1,married/widowed,0
<0 DM,22,no credits taken,education,3366,<100 DM,>=7 years,3,co-applicant,3,savings agreement/life insurance,0,none,own,2,management/ highly qualified employee,2,yes,no,0,divorced/separated,0
0 <= <200 DM,21,all credits at this bank paid back duly,radio/television,3355,<100 DM,1<= < 4 years,4,none,4,car or other,1,bank,for free,2,unskilled - resident,2,yes,no,0,divorced/separated,1
no account,21,critical account,repairs,1768,>= 1000 DM,>=7 years,4,guarantor,3,unknown / no property,0,none,rent,2,unemployed/ unskilled  - non-resident,2,yes,yes,1,married/widowed,1
0 <= <200 DM,21,no credits taken,car (new),3421,>= 1000 DM,>=7 years,3,co-applicant,3,real estate,1,store,for free,2,unemployed/ unskilled  - non-resident,2,none,yes,1,married/widowed,0
no account,25,all credits at this bank paid back duly,car (used),3797,no savings account,4<= <7 years,4,none,3,savings agreement/life insurance,1,store,rent,2,unemployed/ unskilled  - non-resident,2,yes,yes,1,divorced/separated,1
>= 200 DM ,20,critical account,radio/television,1406,no savings account,unemployed,3,guarantor,3,savings agreement/life insurance,0,bank,rent,2,unskilled - resident,2,yes,no,1,married/widowed,0
no account,22,critical account,radio/television,3081,<100 DM,1<= < 4 years,3,guarantor,3,car or other,0,store,rent,2,management/ highly qualified employee,2,none,no,0,married/widowed,0
no account,13,no credits taken,car (new),2609,500 <= < 1000 DM,4<= <7 years,4,none,3,unknown / no property,1,bank,rent,2,management/ highly qualified employee,2,none,no,0,married/widowed,1
>= 200 DM ,22,all credits at this bank paid back duly,education,3075,>= 1000 DM,4<= <7 years,3,co-applicant,3,real estate,1,store,for free,2,skilled employee / official,2,yes,no,1,divorced/separated,1
<0 DM,25,existing credits paid back duly till now,business,3004,100 <= <500 DM,4<= <7 years,3,none,4,unknown / no property,1,bank,own,2,skilled employee / official,2,yes,no,1,married/widowed,1
<0 DM,20,critical account,education,2700,>= 1000 DM,unemployed,4,co-applicant,3,unknown / no property,1,bank,own,2,unskilled - resident,2,yes,yes,1,married/widowed,1
no account,26,all credits at this bank paid back duly,domestic appliances,2270,>= 1000 DM,>=7 years,3,co-applicant,3,real estate,0,store,rent,2,unemployed/ unskilled  - non-resident,2,none,yes,1,divorced/separated,0
no account,19,all credits at this bank paid back duly,furniture/equipment,3101,500 <= < 1000 DM,1<= < 4 years,4,none,3,car or other,0,bank,rent,2,unskilled - resident,2,yes,no,0,divorced/separated,0
0 <= <200 DM,26,existing credits paid back duly till now,car (new),3107,100 <= <500 DM,<1 years,4,none,4,unknown / no property,0,store,for free,2,unskilled - resident,2,none,no,0,divorced/separated,0
