LIMIT_BAL,SEX,EDUCATION,MARITAL,AGE,PAY0,PAY2,PAY3,PAY4,PAY5,PAY6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,class-label
167253,1,5,2,0,4,2,2,7,-1,2,38753,38508,68538,24505,65919,38544,10574,7370,14229,3242,2385,3283,1
165073,0,1,3,1,8,7,1,0,6,3,76050,58255,35478,40699,38003,47674,3333,11320,-4768,10447,929,4855,1
169860,0,5,3,1,-2,4,-2,8,6,-2,31688,15722,47647,29931,39568,32914,12147,10626,17,4057,4181,-416,1
163449,1,0,3,0,1,5,0,0,5,3,66727,69100,46861,64023,26393,42617,-327,10383,2551,2694,3636,10530,0
133427,1,3,3,0,8,1,3,4,7,6,65127,48552,51223,24696,27587,42762,7164,4973,5846,770,2081,2718,0
165922,0,1,2,0,6,5,-1,5,-2,0,46027,81389,66364,32415,61753,40215,15915,5985,4405,6970,-2687,2249,0
261037,0,5,2,1,7,2,-1,2,3,4,22632,71838,64448,58169,73851,29297,14606,-4072,787,3126,7487,2265,0
164883,1,2,3,1,5,1,2,6,5,-1,59741,43181,36506,33088,32614,55255,2472,18237,2788,15100,1543,4726,1
179144,1,1,1,0,7,7,-2,2,0,7,31479,73786,83656,41401,63634,37052,10607,5613,-1062,11859,5410,4150,1
150068,0,1,0,0,1,0,-2,2,6,0,41478,24710,38289,30207,41657,29371,3902,16418,8753,13901,6640,7470,1
177247,1,4,0,1,-1,8,-1,7,3,-2,107108,61774,37787,61892,40196,64882,5114,2942,2242,1402,-1145,5032,0
162313,0,0,2,0,3,0,5,0,7,4,46559,11726,15522,16760,8383,32827,9656,3024,8177,928,998,1323,0
162458,1,0,2,0,-1,0,2,0,-2,2,42137,45243,49594,48605,23330,34303,17091,14513,5969,4311,2614,2303,0
