checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
>= 200 DM ,17,no credits taken,furniture/equipment,3132,100 <= <500 DM,<1 years,4,guarantor,4,unknown / no property,1,bank,own,2,skilled employee / official,2,yes,no,1,married/widowed,1
0 <= <200 DM,18,existing credits paid back duly till now,business,2240,100 <= <500 DM,>=7 years,4,none,3,car or other,0,store,rent,2,management/ highly qualified employee,2,none,yes,1,divorced/separated,1
<0 DM,20,critical account,domestic appliances,2564,no savings account,1<= < 4 years,4,co-applicant,3,savings agreement/life insurance,1,store,rent,2,unemployed/ unskilled  - non-resident,2,yes,yes,1,divorced/separated,0
<0 DM,18,all credits at this bank paid back duly,domestic appliances,3403,100 <= <500 DM,<1 years,3,guarantor,4,savings agreement/life insurance,0,bank,for free,2,management/ highly qualified employee,2,none,yes,0,married/widowed,0
0 <= <200 DM,23,all credits at this bank paid back duly,business,3816,100 <= <500 DM,>=7 years,4,guarantor,4,unknown / no property,1,bank,own,2,management/ highly qualified employee,2,none,no,1,married/widowed,0
0 <= <200 DM,18,no credits taken,car (new),3312,no savings account,<1 years,3,none,4,car or other,1,bank,own,2,unskilled - resident,2,none,no,1,married/widowed,0
<0 DM,23,critical account,others,2068,500 <= < 1000 DM,>=7 years,4,co-applicant,3,car or other,0,bank,for free,2,management/ highly qualified employee,2,none,no,1,divorced/separated,1
no account,12,all credits at this bank paid back duly,radio/television,2989,500 <= < 1000 DM,unemployed,3,none,4,car or other,1,store,for free,2,unemployed/ unskilled  - non-resident,2,none,no,1,married/widowed,0
<0 DM,21,delay in paying off,furniture/equipment,2522,100 <= <500 DM,<1 years,3,co-applicant,4,car or other,1,store,for free,2,unemployed/ unskilled  - non-resident,2,none,no,0,divorced/separated,1
>= 200 DM ,24,no credits taken,furniture/equipment,3754,<100 DM,<1 years,3,guarantor,3,car or other,1,bank,own,2,unskilled - resident,2,yes,yes,1,married/widowed,1
>= 200 DM ,19,delay in paying off,retraining,2691,100 <= <500 DM,>=7 years,3,co-applicant,4,unknown / no property,1,store,for free,2,unskilled - resident,2,yes,no,0,married/widowed,0
0 <= <200 DM,22,existing credits paid back duly till now,domestic appliances,4974,>= 1000 DM,4<= <7 years,3,guarantor,3,real estate,0,bank,own,2,management/ highly qualified employee,2,yes,no,1,married/widowed,1
0 <= <200 DM,26,critical account,car (new),3456,100 <= <500 DM,unemployed,3,co-applicant,4,unknown / no property,1,none,rent,2,unemployed/ unskilled  - non-resident,2,yes,no,0,married/widowed,1
<0 DM,23,critical account,education,3027,100 <= <500 DM,1<= < 4 years,4,co-applicant,3,unknown / no property,1,bank,for free,2,unemployed/ unskilled  - non-resident,2,yes,yes,0,divorced/separated,1
no account,24,existing credits paid back duly till now,furniture/equipment,3263,>= 1000 DM,1<= < 4 years,4,guarantor,3,savings agreement/life insurance,1,bank,for free,2,management/ highly qualified employee,2,yes,yes,1,married/widowed,0
<0 DM,23,all credits at this bank paid back duly,furniture/equipment,4235,no savings account,>=7 years,4,co-applicant,3,savings agreement/life insurance,0,store,own,2,unskilled - resident,2,yes,no,1,divorced/separated,0
>= 200 DM ,15,no credits taken,retraining,2310,100 <= <500 DM,>=7 years,3,guarantor,4,unknown / no property,1,store,own,2,management/ highly qualified employee,2,none,no,1,married/widowed,1
<0 DM,22,all credits at this bank paid back duly,furniture/equipment,4143,500 <= < 1000 DM,1<= < 4 years,4,guarantor,4,unknown / no property,0,bank,own,2,skilled employee / official,2,yes,no,1,divorced/separated,0
<0 DM,17,all credits at this bank paid back duly,retraining,4133,>= 1000 DM,<1 years,4,none,4,car or other,1,bank,own,2,skilled employee / official,2,yes,yes,1,divorced/separated,0
<0 DM,18,critical account,domestic appliances,3082,500 <= < 1000 DM,>=7 years,3,co-applicant,4,car or other,0,store,own,2,unemployed/ unskilled  - non-resident,2,none,yes,1,divorced/separated,0
no account,25,critical account,radio/television,2941,>= 1000 DM,4<= <7 years,4,co-applicant,3,savings agreement/life insurance,1,none,for free,2,unskilled - resident,2,yes,yes,1,divorced/separated,0
