PAYMENT-DAY,QUANT-ADDITIONAL-CARDS,POSTAL-ADDRESS-TYPE,SEX,MARITAL-STATUS,QUANT-DEPENDANTS,EDUCATION-LEVEL,FLAG-RESIDENCIAL-PHONE,RESIDENCE-TYPE,MONTHS-IN-RESIDENCE,FLAG-MOBILE-PHONE,FLAG-EMAIL,PERSONAL-MONTHLY-INCOME,OTHER-INCOMES,FLAG-VISA,FLAG-MASTERCARD,FLAG-DINERS,FLAG-AMERICAN-EXPRESS,FLAG-OTHER-CARDS,QUANT-BANKING-ACCOUNTS,QUANT-SPECIAL-BANKING-ACCOUNTS,PERSONAL-ASSETS-VALUE,QUANT-CARS,COMPANY,FLAG-PROFESSIONAL-PHONE,MONTHS-IN-THE-JOB,OCCUPATION-TYPE,FLAG-HOME-ADDRESS-DOCUMENT,FLAG-RG,FLAG-CPF,FLAG-INCOME-PROOF,PRODUCT,FLAG-ACSP-RECORD,AGE,class-label
5,0,1,1,3,0,0,Y,5.0,9,N,1,-1683,-276,0,0,0,0,0,0,1,-9360,1,Y,N,0,2.0,0,0,0,0,1,N,1,0
10,0,2,0,2,3,0,Y,1.0,10,N,1,196,60,1,0,0,0,0,0,0,-9953,1,Y,N,0,5.0,0,0,0,0,1,N,1,0
10,0,1,0,2,1,0,Y,1.0,8,N,1,19,-262,0,0,0,1,0,0,0,2481,1,N,N,0,2.0,0,0,0,0,1,N,1,0
25,0,1,1,6,1,0,Y,1.0,5,N,0,1066,29,0,0,0,1,0,1,0,-3604,2,Y,N,0,1.0,0,0,0,0,1,N,1,0
15,0,1,0,1,0,0,Y,1.0,11,N,1,2893,-466,0,0,0,1,0,0,0,9514,1,N,N,1,2.0,0,0,0,0,1,N,1,0
5,0,1,1,2,1,0,Y,5.0,11,N,0,1708,683,1,0,0,0,0,1,0,-4505,1,N,N,0,2.0,0,0,0,0,1,N,1,0
10,0,1,1,1,2,0,Y,1.0,1,N,0,469,427,1,0,0,0,0,0,1,-20707,1,N,N,1,4.0,0,0,0,0,1,N,0,1
1,0,1,1,2,1,0,Y,1.0,8,N,1,1441,-748,0,0,0,0,0,0,0,2798,1,N,Y,0,2.0,0,0,0,0,1,N,1,0
10,0,1,1,4,3,0,Y,0.0,4,N,0,-2734,597,0,0,0,0,0,0,0,-12112,1,N,N,0,1.0,0,0,0,0,1,N,1,1
5,0,1,1,2,2,0,Y,1.0,12,N,1,660,114,0,0,0,0,0,1,1,-3389,1,Y,N,0,3.0,0,0,0,0,1,N,0,0
20,0,1,1,2,3,0,Y,1.0,-4,N,1,-1983,-350,0,0,0,0,0,0,0,-11599,0,Y,Y,1,4.0,0,0,0,0,1,N,1,1
15,0,1,0,2,2,0,Y,1.0,6,N,1,-1476,-615,0,0,0,0,0,0,0,14408,0,Y,Y,1,2.0,0,0,0,0,1,N,1,0
10,0,1,0,2,1,0,Y,2.0,15,N,1,-3479,-154,0,0,0,0,0,0,0,-673,1,Y,N,1,5.0,0,0,0,0,1,N,1,0
10,0,1,1,3,1,0,N,1.0,-2,N,1,-2699,-896,0,0,0,0,0,0,0,-18245,-1,Y,N,0,5.0,0,0,0,0,1,N,1,0
10,0,1,1,2,2,0,Y,1.0,3,N,1,-2236,-152,0,0,0,0,0,1,1,-6946,1,N,Y,1,5.0,0,0,0,0,1,N,1,0
10,0,1,0,2,1,0,Y,2.0,26,N,0,3004,-37,0,0,0,0,0,1,1,-2302,2,Y,N,0,0.0,0,0,0,0,1,N,1,0
10,0,1,0,1,3,0,N,1.0,12,N,1,8740,911,0,0,1,0,0,0,0,-3949,0,N,N,0,2.0,0,0,0,0,2,N,1,1
10,0,1,1,2,0,0,Y,1.0,21,N,1,5371,1900,0,0,0,0,0,0,0,-6269,-1,Y,N,0,4.0,0,0,0,0,1,N,1,0
15,0,1,0,2,2,0,Y,5.0,20,N,1,5609,-741,0,0,0,0,0,1,1,24952,2,Y,N,0,0.0,0,0,0,0,1,N,1,1
15,0,1,1,2,3,0,Y,1.0,-17,N,0,4270,-659,1,1,0,0,0,0,1,1151,1,Y,Y,0,2.0,0,0,0,0,1,N,1,0
