checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
0 <= <200 DM,17,existing credits paid back duly till now,others,3060,no savings account,unemployed,4,guarantor,3,savings agreement/life insurance,31,bank,for free,2,unskilled - resident,2,yes,no,female,married/widowed,0
>= 200 DM ,23,all credits at this bank paid back duly,repairs,3443,500 <= < 1000 DM,unemployed,4,guarantor,4,car or other,35,none,rent,2,unskilled - resident,1,none,yes,female,married/widowed,1
no account,21,existing credits paid back duly till now,repairs,4802,<100 DM,>=7 years,4,guarantor,4,car or other,41,none,rent,2,unskilled - resident,2,yes,yes,male,married/widowed,0
0 <= <200 DM,22,all credits at this bank paid back duly,repairs,2359,>= 1000 DM,>=7 years,4,guarantor,3,unknown / no property,33,store,rent,2,unskilled - resident,2,none,no,female,married/widowed,0
0 <= <200 DM,20,critical account,education,2074,no savings account,<1 years,4,guarantor,3,unknown / no property,33,bank,for free,2,unemployed/ unskilled  - non-resident,2,yes,no,female,married/widowed,0
<0 DM,19,no credits taken,business,3802,100 <= <500 DM,4<= <7 years,3,none,3,savings agreement/life insurance,47,none,own,2,unskilled - resident,2,yes,yes,male,divorced/separated,0
no account,24,critical account,retraining,3395,100 <= <500 DM,>=7 years,3,none,4,car or other,34,bank,own,2,unskilled - resident,2,yes,yes,male,married/widowed,0
no account,23,no credits taken,repairs,2904,100 <= <500 DM,1<= < 4 years,4,none,4,real estate,33,none,for free,2,unskilled - resident,2,yes,yes,female,married/widowed,1
<0 DM,18,no credits taken,repairs,5117,500 <= < 1000 DM,<1 years,4,guarantor,4,car or other,36,bank,rent,2,unskilled - resident,2,yes,no,male,married/widowed,0
0 <= <200 DM,16,existing credits paid back duly till now,business,2645,no savings account,<1 years,3,guarantor,3,savings agreement/life insurance,32,bank,for free,2,unskilled - resident,2,none,no,male,divorced/separated,1
<0 DM,17,no credits taken,others,1165,100 <= <500 DM,<1 years,4,co-applicant,3,savings agreement/life insurance,39,bank,own,2,skilled employee / official,2,yes,no,male,divorced/separated,0
