checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
<0 DM,12.0,critical account,domestic appliances,2076.9417,<100 DM,>=7 years,4.0,none,3.0,real estate,1,none,for free,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,0
no account,24.0,existing credits paid back duly till now,radio/television,250.0,<100 DM,1<= < 4 years,4.0,none,4.0,car or other,1,none,own,4.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,11.0,critical account,radio/television,2278.9297,<100 DM,1<= < 4 years,2.0,none,4.0,real estate,1,none,own,2.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,0
0 <= <200 DM,24.0,existing credits paid back duly till now,car (new),1361.4359,no savings account,<1 years,4.0,none,2.0,savings agreement/life insurance,1,none,own,1.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,1
no account,24.0,critical account,car (new),1386.0,<100 DM,<1 years,4.0,none,4.0,car or other,1,none,own,1.0,unemployed/ unskilled  - non-resident,1.0,yes,yes,0,divorced/separated,1
<0 DM,12.0,critical account,furniture/equipment,250.0,500 <= < 1000 DM,1<= < 4 years,4.0,none,3.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,0
0 <= <200 DM,12.0,existing credits paid back duly till now,car (new),2716.7524,<100 DM,>=7 years,4.0,none,3.0,car or other,0,none,own,1.0,unskilled - resident,1.0,none,yes,1,divorced/separated,1
no account,21.0,existing credits paid back duly till now,car (used),843.9452,<100 DM,unemployed,4.0,none,4.0,unknown / no property,0,none,own,1.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,1
<0 DM,72.0,delay in paying off,radio/television,250.0,<100 DM,1<= < 4 years,4.0,none,4.0,savings agreement/life insurance,1,none,own,1.0,unskilled - resident,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,24.0,existing credits paid back duly till now,radio/television,3112.8826,<100 DM,<1 years,4.0,none,4.0,car or other,0,none,own,1.0,management/ highly qualified employee,1.0,yes,yes,1,divorced/separated,1
0 <= <200 DM,15.0,existing credits paid back duly till now,radio/television,1746.0623,<100 DM,1<= < 4 years,4.0,guarantor,4.0,savings agreement/life insurance,1,none,own,2.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
<0 DM,4.0,critical account,domestic appliances,1923.6327,no savings account,1<= < 4 years,4.0,none,3.0,real estate,1,none,own,1.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,0
0 <= <200 DM,24.0,existing credits paid back duly till now,radio/television,1284.4902,no savings account,4<= <7 years,4.0,none,4.0,savings agreement/life insurance,1,bank,own,1.0,unskilled - resident,1.0,yes,yes,1,divorced/separated,0
<0 DM,9.0,critical account,car (used),2364.0872,<100 DM,unemployed,1.0,none,2.0,real estate,1,none,own,1.0,unskilled - resident,1.0,yes,yes,0,divorced/separated,1
<0 DM,12.0,existing credits paid back duly till now,furniture/equipment,9039.015,100 <= <500 DM,>=7 years,3.0,none,1.0,savings agreement/life insurance,0,bank,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,0
0 <= <200 DM,18.0,existing credits paid back duly till now,radio/television,250.0,<100 DM,1<= < 4 years,4.0,none,4.0,car or other,0,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,12.0,critical account,radio/television,2928.1287,no savings account,<1 years,4.0,none,4.0,unknown / no property,0,none,own,2.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,24.0,critical account,car (new),250.0,<100 DM,1<= < 4 years,4.0,none,4.0,real estate,0,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,21.0,critical account,car (new),3553.6182,<100 DM,4<= <7 years,4.0,none,4.0,unknown / no property,0,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,0
no account,15.0,existing credits paid back duly till now,radio/television,2923.386,no savings account,<1 years,4.0,none,3.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
no account,12.0,existing credits paid back duly till now,radio/television,250.0,<100 DM,1<= < 4 years,3.0,none,1.0,savings agreement/life insurance,1,none,own,1.0,unskilled - resident,1.0,none,yes,1,divorced/separated,1
no account,12.0,critical account,car (new),1894.396,<100 DM,<1 years,2.0,none,4.0,car or other,1,none,own,2.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,1
no account,12.0,existing credits paid back duly till now,furniture/equipment,1471.9177,<100 DM,1<= < 4 years,4.0,none,3.0,car or other,1,store,own,1.0,management/ highly qualified employee,1.0,none,yes,1,married/widowed,1
0 <= <200 DM,4.0,existing credits paid back duly till now,repairs,2314.9429,<100 DM,4<= <7 years,4.0,none,2.0,real estate,1,bank,for free,1.0,unskilled - resident,1.0,yes,yes,1,divorced/separated,1
0 <= <200 DM,10.0,critical account,domestic appliances,2439.7212,<100 DM,<1 years,2.0,none,4.0,real estate,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,married/widowed,0
no account,24.0,all credits at this bank paid back duly,furniture/equipment,3590.0,<100 DM,<1 years,4.0,none,2.0,savings agreement/life insurance,0,none,own,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,0
no account,18.0,existing credits paid back duly till now,car (new),250.0,no savings account,1<= < 4 years,4.0,none,2.0,unknown / no property,1,none,for free,1.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,1
<0 DM,6.0,critical account,radio/television,11783.292,<100 DM,<1 years,1.0,none,2.0,real estate,0,none,rent,1.0,unskilled - resident,1.0,yes,yes,1,divorced/separated,1
no account,11.0,existing credits paid back duly till now,radio/television,1414.3163,<100 DM,>=7 years,4.0,none,4.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,18.0,existing credits paid back duly till now,car (new),9039.137,<100 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,0,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,0
<0 DM,12.0,existing credits paid back duly till now,radio/television,250.0,<100 DM,4<= <7 years,4.0,none,1.0,real estate,0,bank,own,1.0,skilled employee / official,1.0,yes,yes,0,married/widowed,1
<0 DM,24.0,existing credits paid back duly till now,business,1073.2164,<100 DM,4<= <7 years,4.0,none,2.0,unknown / no property,1,bank,own,1.0,management/ highly qualified employee,1.0,none,yes,0,divorced/separated,1
>= 200 DM ,12.0,critical account,business,700.44275,no savings account,<1 years,4.0,none,4.0,car or other,1,none,own,1.0,management/ highly qualified employee,1.0,none,yes,1,married/widowed,1
<0 DM,9.0,all credits at this bank paid back duly,car (new),2213.7136,<100 DM,1<= < 4 years,3.0,none,4.0,unknown / no property,1,none,for free,2.0,skilled employee / official,1.0,none,yes,1,divorced/separated,0
no account,24.0,existing credits paid back duly till now,furniture/equipment,514.80084,<100 DM,4<= <7 years,4.0,none,2.0,real estate,0,none,rent,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
>= 200 DM ,18.0,critical account,business,18424.0,no savings account,>=7 years,2.0,none,4.0,real estate,0,store,rent,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,27.0,existing credits paid back duly till now,business,14342.392,no savings account,<1 years,2.0,none,4.0,car or other,1,none,for free,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
0 <= <200 DM,24.0,existing credits paid back duly till now,furniture/equipment,2760.719,<100 DM,<1 years,1.0,co-applicant,3.0,unknown / no property,0,none,rent,1.0,management/ highly qualified employee,1.0,yes,yes,1,divorced/separated,0
<0 DM,24.0,existing credits paid back duly till now,radio/television,250.0,no savings account,<1 years,4.0,none,4.0,unknown / no property,0,none,for free,2.0,skilled employee / official,1.0,yes,yes,0,married/widowed,1
0 <= <200 DM,6.0,existing credits paid back duly till now,furniture/equipment,3654.531,<100 DM,4<= <7 years,1.0,none,3.0,real estate,0,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,12.0,critical account,radio/television,18424.0,<100 DM,>=7 years,4.0,none,2.0,real estate,1,none,own,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
0 <= <200 DM,15.0,critical account,car (new),250.0,<100 DM,1<= < 4 years,4.0,none,4.0,unknown / no property,0,none,own,2.0,skilled employee / official,1.0,none,yes,0,divorced/separated,0
no account,18.0,critical account,car (new),1562.0293,no savings account,unemployed,4.0,none,2.0,car or other,1,none,rent,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
no account,12.0,existing credits paid back duly till now,furniture/equipment,2142.2139,<100 DM,4<= <7 years,1.0,none,4.0,car or other,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,18.0,existing credits paid back duly till now,car (used),250.0,no savings account,<1 years,4.0,none,4.0,car or other,1,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
<0 DM,24.0,critical account,car (new),4815.0557,>= 1000 DM,1<= < 4 years,2.0,none,2.0,car or other,0,none,rent,1.0,unemployed/ unskilled  - non-resident,1.0,none,yes,0,divorced/separated,1
0 <= <200 DM,24.0,existing credits paid back duly till now,retraining,1531.1586,<100 DM,4<= <7 years,4.0,none,4.0,car or other,1,none,own,2.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,1
0 <= <200 DM,18.0,existing credits paid back duly till now,others,11896.855,no savings account,<1 years,4.0,none,4.0,car or other,1,none,own,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
<0 DM,45.0,existing credits paid back duly till now,car (new),2140.2827,100 <= <500 DM,4<= <7 years,4.0,none,2.0,real estate,0,none,rent,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,0
<0 DM,15.0,all credits at this bank paid back duly,car (new),2826.8877,<100 DM,1<= < 4 years,4.0,none,1.0,unknown / no property,0,none,rent,1.0,skilled employee / official,1.0,yes,yes,0,divorced/separated,0
no account,18.0,existing credits paid back duly till now,furniture/equipment,1287.0,no savings account,1<= < 4 years,2.0,none,4.0,car or other,0,none,rent,2.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,0
no account,18.0,existing credits paid back duly till now,others,250.0,no savings account,>=7 years,4.0,none,2.0,unknown / no property,1,none,rent,1.0,skilled employee / official,1.0,yes,yes,1,divorced/separated,1
<0 DM,12.0,no credits taken,education,708.76733,<100 DM,1<= < 4 years,4.0,co-applicant,4.0,real estate,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,30.0,critical account,others,892.0883,no savings account,4<= <7 years,4.0,none,2.0,car or other,0,none,own,2.0,management/ highly qualified employee,1.0,yes,yes,1,divorced/separated,0
0 <= <200 DM,18.0,existing credits paid back duly till now,furniture/equipment,18424.0,<100 DM,4<= <7 years,2.0,none,4.0,savings agreement/life insurance,1,bank,own,1.0,skilled employee / official,1.0,yes,yes,0,married/widowed,1
<0 DM,15.0,delay in paying off,car (new),14662.337,no savings account,<1 years,4.0,none,4.0,unknown / no property,1,none,own,1.0,management/ highly qualified employee,1.0,none,yes,1,divorced/separated,1
no account,12.0,critical account,car (new),1188.4058,no savings account,1<= < 4 years,4.0,none,1.0,car or other,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
0 <= <200 DM,22.0,critical account,radio/television,8072.2324,no savings account,>=7 years,4.0,none,1.0,real estate,0,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,12.0,critical account,business,18424.0,no savings account,<1 years,3.0,none,3.0,savings agreement/life insurance,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
no account,18.0,existing credits paid back duly till now,business,6572.566,<100 DM,4<= <7 years,4.0,none,2.0,car or other,1,none,own,1.0,skilled employee / official,1.0,none,yes,1,divorced/separated,1
<0 DM,12.0,critical account,radio/television,10186.388,no savings account,1<= < 4 years,2.0,none,3.0,car or other,1,none,own,1.0,skilled employee / official,1.0,none,yes,0,divorced/separated,1
0 <= <200 DM,18.0,existing credits paid back duly till now,furniture/equipment,1961.134,>= 1000 DM,unemployed,3.0,none,4.0,car or other,1,none,own,2.0,management/ highly qualified employee,1.0,none,yes,0,divorced/separated,1
