LIMIT_BAL,SEX,EDUCATION,MARITAL,AGE,PAY0,PAY2,PAY3,PAY4,PAY5,PAY6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,class-label
187586,2,2,2,39,0,0,0,0,4,0,106962,113853,152612,124081,125593,71682,20174,17998,10546,1604,9527,11912,0
214021,2,1,2,23,0,0,0,0,0,-2,-27132,16099,48608,36786,37254,68972,7395,11400,12400,12697,5581,10266,0
266641,1,3,1,39,0,0,-2,-1,7,-2,23520,22225,4459,-4099,4482,22310,24111,16205,16025,5215,12800,3731,0
224861,2,2,1,41,0,-1,-2,0,3,-2,5143,9868,-15055,-4313,29894,17981,1860,20245,5714,14338,3331,4434,0
275619,2,1,2,34,0,0,-2,0,0,-2,44067,39016,13396,24683,41012,59274,7103,30919,6658,4316,4214,5669,0
251049,2,1,1,29,1,-1,2,0,0,2,99124,84308,93626,99159,77305,76664,21954,4658,11208,3505,7254,10290,0
183417,2,2,2,27,0,0,0,0,0,4,114983,92059,86698,129900,97912,76779,7454,14036,24319,15296,15790,16786,0
136135,2,2,2,46,0,2,0,0,0,-2,151521,156128,68078,195836,79734,109037,16205,1612,16167,18450,13540,15645,1
258335,1,2,1,36,-2,-1,-1,-2,-2,-2,1147,-36930,-4274,-40732,-17147,-43276,14826,10194,17457,2344,1425,19478,0
113813,1,3,1,47,0,3,-2,7,0,0,97433,145636,119760,117024,110000,100859,9655,4485,11157,14693,7307,6741,1
238119,1,2,1,27,1,-1,2,2,0,-1,17273,22348,58664,84522,79750,36093,10456,25844,7043,13352,14387,12113,1
264084,2,1,1,35,-1,-1,0,-1,-2,-1,845,-8915,15060,-8003,11159,-1083,2714,6908,3986,9392,329,6119,0
240374,1,2,1,39,6,-1,-2,0,-1,-2,26671,59152,59148,51168,84439,53902,22911,21169,17690,5275,13623,10525,0
341606,2,1,2,34,-2,0,0,-2,0,0,45882,60307,74360,66560,64669,44867,24309,42016,14602,8611,8124,11712,0
366196,2,1,2,44,-2,-2,-2,-2,-2,-2,122141,83258,68911,70879,59975,57114,8044,21707,2776,8065,5601,11566,1
391961,1,2,2,33,0,0,0,0,0,0,106800,62779,72123,57693,43998,61760,8030,22436,18696,10210,9605,4544,0
186385,2,1,2,27,0,0,0,0,0,0,65142,104495,78783,46650,36048,48225,24069,21427,11486,8352,10630,20817,0
16954,1,3,1,42,0,0,0,0,0,0,99748,104325,65436,61689,68087,50621,19344,4603,11798,15440,6720,13786,1
148370,2,2,1,48,1,2,2,2,2,0,20464,21572,15169,20083,3043,43490,5078,11586,12965,4434,8937,4055,1
62938,2,1,2,44,0,0,0,0,8,-1,130539,74846,54346,56804,46857,53267,6742,5378,5597,7952,22144,14130,0
297258,1,2,1,33,-2,-2,-2,-2,-2,-2,11946,11263,3873,-23865,1695,8922,6348,2182,97,9406,3326,6082,0
226412,2,1,1,28,-1,0,0,-1,-2,-2,56481,76280,44159,26543,47249,25063,17370,3201,9612,11000,3544,14425,0
